Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Jake Melksham,MEL,FWD,296800,55.2,63,0,63,348042,51242,17,65.13,3.17,100,49.5,0,9.39,4.29,8,3.06,0.01,
Taylor Walker,ADE,FWD,298200,55.5,63,0,63,347198,48998,14,76,2.65,82.35,51.5,0.07,10.95,3.59,6.59,3.18,0.38,
Tim O'Brien,HAW,FWD,297500,55.4,63,0,63,346777,49277,16,69.33,2.3,94.12,65.8,0,9.99,3.12,7.53,4.01,0.01,
Brendon Ah Chee,WCE,FWD,310200,57.7,63,0,63,346355,36155,15,67,3.38,88.24,54,0,9.66,4.57,7.06,3.33,0.01,
Cameron Zurhaar,NME,FWD,337800,62.9,63,0,63,345652,7852,16,62.81,3.25,94.12,53,0.06,9.05,4.4,7.53,3.27,0.33,
Alex Keath,WBD,DEF,323900,60.3,63,0,63,345230,21330,17,58.83,3.21,100,55.2,0.06,8.48,4.34,8,3.4,0.33,
Lachie Ash,GWS,DEF,320600,59.7,63,0,63,345089,24489,12,58.67,3.8,70.59,87.5,0,8.46,5.14,5.65,5.28,0.01,
Brayden Fiorini,GCS,MID,301700,62.4,63,0,63,344245,42545,5,84.13,4.56,29.41,62.4,0,12.12,6.17,2.36,3.82,0.01,
Alex Sexton,GCS,FWD,330000,61.4,63,0,63,344105,14105,14,60.43,3.28,82.35,71.67,0.07,8.71,4.44,6.59,4.35,0.38,
Adam Tomlinson,MEL,DEF,324000,60.3,63,0,63,343824,19824,13,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,
Adam Tomlinson,MEL,MID,324000,60.3,63,0,63,343824,19824,13,59.31,4.2,76.47,67.17,0,8.55,5.68,6.12,4.09,0.01,
Sam Draper,ESS,RUC,378100,70.4,63,0,63,343402,-34698,8,69.38,4.7775,47.06,57.75,0.12,10,6.46,3.77,3.54,0.65,
Sam Simpson,GEE,FWD,350600,72.5,62,0,62,342558,-8042,6,72.78,4.47,35.29,72.5,0.11,10.49,6.05,2.83,4.4,0.59,
Nathan Broad,RIC,DEF,349200,65,62,0,62,341292,-7908,13,63.25,3.77,76.47,58.75,0.06,9.12,5.1,6.12,3.6,0.33,
Jye Caldwell,ESS,MID,348600,64.9,62,5,67,341292,-7308,9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,Club change
Jye Caldwell,ESS,FWD,348600,64.9,62,5,67,341292,-7308,9,63.89,4.24,52.94,84,0,9.21,5.74,4.24,5.07,0.01,Club change
Darcy Tucker,FRE,MID,347900,64.8,62,0,62,339464,-8436,8,70.04,4.67,47.06,64.8,0,10.09,6.32,3.77,3.95,0.01,
Daniel Talia,ADE,DEF,354600,66,62,0,62,339324,-15276,14,67.77,3.14,82.35,44.5,0.14,9.77,4.25,6.59,2.77,0.75,
Michael Hartley,HAW,DEF,317800,84.5,62,0,62,339042,21242,2,83.5,4.45,11.76,84.5,0,12.03,6.02,0.95,5.1,0.01,
Brandon Starcevich,BRI,DEF,307300,57.2,62,0,62,339042,31742,16,55.67,3.34,94.12,60.67,0.06,8.02,4.52,7.53,3.71,0.33,
Lachlan Sholl,ADE,DEF,343200,63.9,62,0,62,338902,-4298,8,62.88,4.65,47.06,71.2,0.12,9.06,6.29,3.77,4.33,0.65,
Lachlan Sholl,ADE,MID,343200,63.9,62,0,62,338902,-4298,8,62.88,4.65,47.06,71.2,0.12,9.06,6.29,3.77,4.33,0.65,
Tom Williamson,CAR,DEF,313400,58.3,62,0,62,338339,24939,15,57.33,3.75,88.24,59.8,0,8.26,5.07,7.06,3.66,0.01,
Daniel Lloyd,GWS,FWD,330900,61.6,62,0,62,338058,7158,12,60.58,3.43,70.59,75.67,0.08,8.73,4.64,5.65,4.59,0.43,
Josh Jenkins,GEE,FWD,323400,86,62,0,62,337917,14517,1,85,4.51,5.88,86,0,12.25,6.1,0.48,5.19,0.01,
Charlie Ballard,GCS,DEF,307600,57.2,62,0,62,337495,29895,16,58.91,3.46,94.12,53.4,0,8.49,4.68,7.53,3.29,0.01,
Josh Thomas,COL,FWD,305800,56.9,61,0,61,336371,30571,12,70.21,3.36,70.59,58.57,0,10.12,4.55,5.65,3.59,0.01,
Ed Richards,WBD,MID,309300,57.6,61,0,61,336089,26789,16,56.71,3.47,94.12,56.8,0,8.17,4.7,7.53,3.49,0.01,
Ed Richards,WBD,FWD,309300,57.6,61,0,61,336089,26789,16,56.71,3.47,94.12,56.8,0,8.17,4.7,7.53,3.49,0.01,
Esava Ratugolea,GEE,FWD,369400,68.8,61,0,61,336089,-33311,12,68.33,2.79,70.59,68.8,0.08,9.85,3.78,5.65,4.19,0.43,
Cale Hooker,ESS,DEF,372700,69.4,61,0,61,335949,-36751,8,75.71,3.68,47.06,69.4,0,10.91,4.98,3.77,4.22,0.01,
Nick Holman,GCS,FWD,328600,61.2,61,0,61,335667,7067,12,64.25,3.53,70.59,61.2,0.08,9.26,4.78,5.65,3.75,0.43,
Bailey Scott,NME,MID,332300,61.8,61,0,61,335105,2805,13,60.85,3.54,76.47,60.8,0.08,8.77,4.79,6.12,3.72,0.43,
Bailey Scott,NME,FWD,332300,61.8,61,0,61,335105,2805,13,60.85,3.54,76.47,60.8,0.08,8.77,4.79,6.12,3.72,0.43,
Tom Cutler,ESS,MID,364700,67.9,61,0,61,332996,-31704,8,66.88,4.55,47.06,67.5,0,9.64,6.15,3.77,4.11,0.01,
Brayden Sier,COL,MID,313800,73,61,0,61,332855,19055,3,72,5.5,17.65,73,0,10.37,7.44,1.42,4.43,0.01,
Martin Gleeson,ESS,DEF,293400,54.6,61,0,61,332574,39174,13,68.33,3.56,76.47,45.8,0,9.85,4.82,6.12,2.85,0.01,
Sydney Stack,RIC,MID,277600,51.7,61,0,61,332152,54552,9,77.12,3.52,52.94,57,0,11.11,4.76,4.24,3.5,0.01,
Sydney Stack,RIC,FWD,277600,51.7,61,0,61,332152,54552,9,77.12,3.52,52.94,57,0,11.11,4.76,4.24,3.5,0.01,
Charlie Constable,GEE,MID,266500,62,60,0,60,330042,63542,2,77,5.64,11.76,62,0,11.09,7.63,0.95,3.79,0.01,
Jaidyn Stephenson,NME,FWD,354100,65.9,60,0,60,329480,-24620,12,77.29,2.99,70.59,41.25,0,11.14,4.05,5.65,2.58,0.01,
Matt Guelfi,ESS,DEF,324300,60.4,60,0,60,329199,4899,11,59.36,4.18,64.71,65.67,0,8.56,5.65,5.18,4.01,0.01,
Quinton Narkle,GEE,MID,310400,64.2,60,0,60,329199,18799,5,77,3.67,29.41,64.2,0.2,11.09,4.97,2.36,3.92,1.07,
Tyson Stengle,ADE,FWD,305300,56.8,60,0,60,328355,23055,12,59,3.45,70.59,67.25,0.08,8.5,4.67,5.65,4.1,0.43,
Jordan Roughead,COL,DEF,311300,57.9,60,0,60,326949,15649,15,59.73,2.95,88.24,58.33,0,8.61,3.99,7.06,3.58,0.01,
Harry McKay,CAR,FWD,319900,59.5,60,0,60,326949,7049,13,61.53,2.65,76.47,77,0,8.87,3.59,6.12,4.66,0.01,
Griffin Logue,FRE,DEF,339400,70.2,59,0,59,325683,-13717,5,69.2,3.27,29.41,70.2,0.4,9.97,4.43,2.36,4.27,2.13,
Max King,STK,FWD,327400,60.9,59,0,59,325683,-1717,16,60.11,2.6,94.12,56,0,8.66,3.52,7.53,3.44,0.01,
Riley Bonner,POR,DEF,318200,59.2,59,0,59,324699,6499,9,67.67,4.39,52.94,51,0,9.75,5.94,4.24,3.15,0.01,
James Frawley,STK,DEF,295900,55.1,59,0,59,324418,28518,14,62.36,2.77,82.35,61,0,8.99,3.75,6.59,3.73,0.01,
Jake Aarts,RIC,FWD,329400,61.3,59,0,59,323714,-5686,13,59.64,3.32,76.47,62.17,0,8.6,4.49,6.12,3.8,0.01,
Jake Kolodjashnij,GEE,DEF,330200,61.5,59,0,59,323152,-7048,13,58.65,3.35,76.47,57.88,0.06,8.45,4.53,6.12,3.55,0.33,
Jarrod Lienert,POR,DEF,289200,59.8,59,0,59,322730,33530,5,79.14,4.08,29.41,59.8,0,11.4,5.52,2.36,3.66,0.01,
Jackson Hately,ADE,MID,310300,64.2,59,13,72,322730,12430,6,63.17,4.58,35.29,64.2,0.17,9.1,6.19,2.83,3.92,0.91,Club change
Dylan Stephens,SYD,MID,337800,62.9,59,0,59,321746,-16054,8,61.88,4.27,47.06,72.5,0,8.92,5.78,3.77,4.4,0.01,
Easton Wood,WBD,DEF,297700,55.4,59,0,59,321605,23905,12,71.04,3.08,70.59,37.67,0.08,10.24,4.17,5.65,2.38,0.43,
Sam Frost,HAW,DEF,304900,56.8,59,0,59,321043,16143,16,55.5,3.26,94.12,46.25,0,8,4.41,7.53,2.88,0.01,
Phil Davis,GWS,DEF,290700,54.1,58,0,58,320339,29639,10,72.14,2.81,58.82,54.1,0.1,10.4,3.8,4.71,3.33,0.54,
Connor Blakely,FRE,MID,295000,61,58,0,58,320339,25339,5,80.18,5,29.41,33,0,11.55,6.76,2.36,2.1,0.01,
Tom Atkins,GEE,FWD,293500,54.6,58,0,58,319355,25855,11,61.12,3.14,64.71,73.4,0,8.81,4.25,5.18,4.46,0.01,
Jack Ziebell,NME,FWD,257900,48,58,23,81,319355,61455,8,86.04,2.62,47.06,48,0,12.4,3.55,3.77,2.98,0.01,Role change
Eddie Betts,CAR,FWD,308800,57.5,58,0,58,319214,10414,15,56.47,3.15,88.24,46,0.07,8.14,4.26,7.06,2.86,0.38,
Aaron Francis,ESS,DEF,320300,59.6,58,0,58,318371,-1929,8,74.8,3.27,47.06,59.6,0,10.78,4.43,3.77,3.65,0.01,
Ben King,GCS,FWD,298700,55.6,58,0,58,318371,19671,17,54.59,2.49,100,49.6,0.06,7.87,3.37,8,3.07,0.33,
Lachlan Murphy,ADE,FWD,328600,61.2,58,0,58,317949,-10651,12,60.17,3.27,70.59,63,0,8.67,4.43,5.65,3.85,0.01,
Tom McCartin,SYD,FWD,312800,58.2,58,0,58,317808,5008,14,57.21,2.9,82.35,62.4,0,8.25,3.93,6.59,3.82,0.01,
Dean Kent,STK,FWD,335200,62.4,58,0,58,317105,-18095,13,60.69,3.24,76.47,41.33,0.13,8.75,4.39,6.12,2.59,0.7,
Daniel McStay,BRI,FWD,333800,62.1,57,0,57,315136,-18664,15,57.41,2.65,88.24,51.17,0.06,8.27,3.59,7.06,3.16,0.33,
Lin Jong,WBD,MID,318100,74,57,0,57,314996,-3104,3,73,4.41,17.65,74,0,10.52,5.96,1.42,4.49,0.01,
Lin Jong,WBD,FWD,318100,74,57,0,57,314996,-3104,3,73,4.41,17.65,74,0,10.52,5.96,1.42,4.49,0.01,
Tom De Koning,CAR,RUC,305500,56.9,57,0,57,314996,9496,7,55.86,4.795,41.18,62.5,0.14,8.05,6.48,3.3,3.82,0.75,
Jack Lonie,STK,FWD,351200,65.4,57,0,57,313449,-37751,11,62.38,3.45,64.71,56,0,8.99,4.67,5.18,3.44,0.01,
Josh Bruce,WBD,FWD,275000,51.2,57,0,57,312746,37746,16,50.18,2.58,94.12,59.75,0.06,7.23,3.49,7.53,3.66,0.33,
Lachie Fogarty,CAR,FWD,319100,66,57,0,57,311340,-7760,6,65,4.35,35.29,51,0.17,9.37,5.88,2.83,3.15,0.91,
Aaron Naughton,WBD,FWD,329700,61.4,57,0,57,310496,-19204,11,63.64,2.26,64.71,61.4,0.17,9.17,3.06,5.18,3.76,0.91,
Jack Ross,RIC,MID,333100,62,56,0,56,308949,-24151,7,61,4.58,41.18,60,0,8.79,6.19,3.3,3.68,0.01,
Josh Rotham,WCE,DEF,331500,61.7,56,0,56,306980,-24520,10,60.7,3.74,58.82,53.6,0,8.75,5.06,4.71,3.3,0.01,
Tyler Brown,COL,MID,311000,57.9,56,0,56,306277,-4723,9,56.89,3.7,52.94,71,0,8.2,5.01,4.24,4.32,0.01,
Ben McKay,NME,DEF,333600,62.1,56,0,56,305433,-28167,11,61.09,3.09,64.71,57.8,0,8.8,4.18,5.18,3.55,0.01,
Harry Schoenberg,ADE,FWD,315600,58.8,56,0,56,304590,-11010,8,57.75,4.16,47.06,64.4,0,8.32,5.63,3.77,3.93,0.01,
Lewis Melican,SYD,DEF,324700,60.4,55,0,55,303887,-20813,9,59.44,3.38,52.94,59.4,0.11,8.57,4.57,4.24,3.64,0.59,
Oleg Markov,GCS,DEF,314300,65,55,0,55,303887,-10413,6,64,3.91,35.29,70,0,9.22,5.29,2.83,4.26,0.01,
Dylan Clarke,ESS,MID,348600,64.9,55,0,55,303746,-44854,8,63.88,3.35,47.06,67,0,9.21,4.53,3.77,4.08,0.01,
Dylan Clarke,ESS,FWD,348600,64.9,55,0,55,303746,-44854,8,63.88,3.35,47.06,67,0,9.21,4.53,3.77,4.08,0.01,
Alex Neal-Bullen,MEL,FWD,310100,57.7,55,0,55,302480,-7620,7,71.67,3.04,41.18,61.5,0,10.33,4.11,3.3,3.76,0.01,
Ben Brown,MEL,FWD,260300,48.4,55,0,55,301215,40915,9,76.67,2.3,52.94,48.4,0,11.05,3.12,4.24,3,0.01,
Dylan Moore,HAW,FWD,302300,70.3,55,0,55,301074,-1226,3,69.33,4.23,17.65,70.3,0,9.99,5.72,1.42,4.27,0.01,
Curtis Taylor,NME,FWD,315800,58.8,55,0,55,300652,-15148,9,57.78,3.41,52.94,58.8,0.11,8.33,4.61,4.24,3.61,0.59,
Adam Kennedy,GWS,MID,300900,56,54,0,54,298402,-2498,6,75.11,3.8,35.29,38.5,0,10.82,5.14,2.83,2.42,0.01,
Orazio Fantasia,POR,FWD,271800,56.2,54,0,54,296855,25055,5,75.67,3.24,29.41,56.2,0,10.9,4.39,2.36,3.45,0.01,
Orazio Fantasia,POR,DEF,271800,56.2,54,0,54,296855,25055,5,75.67,3.24,29.41,56.2,0,10.9,4.39,2.36,3.45,0.01,
Mabior Chol,RIC,RUC,327200,60.9,54,0,54,296715,-30485,10,59.09,3.6225,58.82,47.67,0,8.52,4.9,4.71,2.96,0.01,
Todd Marshall,POR,FWD,377400,70.2,54,0,54,296293,-81107,12,63.14,2.57,70.59,32.67,0.14,9.1,3.48,5.65,2.09,0.75,
Noah Answerth,BRI,DEF,304500,56.7,54,0,54,295449,-9051,9,57.9,3.78,52.94,53.5,0,8.35,5.11,4.24,3.3,0.01,
Connor Budarick,GCS,DEF,256500,47.7,54,0,54,295168,38668,15,46.73,3.22,88.24,45.33,0,6.74,4.36,7.06,2.82,0.01,
Matt Rowell,GCS,MID,495100,102.4,54,41,95,294465,-200635,5,102.4,0,0.294117647,102.4,0,14.75,0.01,0.03,6.14,0.01,return from injury
Mitchell Hinge,ADE,MID,328800,102,53,0,53,293059,-35741,1,102,0,0.058823529,102,0,14.69,0.01,0.01,6.12,0.01,
Shaun McKernan,STK,FWD,245900,45.8,53,0,53,292777,46877,9,70.33,2.65,52.94,45.8,0,10.13,3.59,4.24,2.85,0.01,
Brayden Ham,ESS,MID,277800,51.7,53,0,53,292215,14415,10,50.7,3.27,58.82,71,0,7.31,4.43,4.71,4.32,0.01,
Braydon Preuss,GWS,RUC,303000,62.7,53,0,53,290809,-12191,3,64.43,4.5325,17.65,62.7,0,9.29,6.13,1.42,3.83,0.01,
Darcy Fogarty,ADE,FWD,286400,53.3,53,0,53,290387,3987,10,62.25,2.58,58.82,56.5,0,8.97,3.49,4.71,3.47,0.01,
Joe Daniher,BRI,FWD,233300,48.2,53,17,70,290246,56946,4,76.36,3.14,23.53,34,0.25,11,4.25,1.89,2.16,1.34,return from injury
James Stewart,ESS,FWD,295000,54.9,53,0,53,290106,-4894,10,61.45,2.48,58.82,60.17,0,8.86,3.36,4.71,3.69,0.01,
Will Brodie,GCS,MID,344900,36,53,0,53,288840,-56060,1,77.25,4.91,5.88,36,0,11.13,6.64,0.48,2.28,0.01,
Will Brodie,GCS,FWD,344900,36,53,0,53,288840,-56060,1,77.25,4.91,5.88,36,0,11.13,6.64,0.48,2.28,0.01,
Bailey Dale,WBD,FWD,298500,55.6,53,0,53,288277,-10223,9,61.08,2.98,52.94,55.6,0,8.8,4.03,4.24,3.42,0.01,
Mitch Crowden,FRE,FWD,295500,55,53,0,53,288277,-7223,10,59.8,2.8,58.82,54.8,0,8.62,3.79,4.71,3.37,0.01,
Laitham Vandermeer,WBD,MID,278900,51.9,52,0,52,287715,8815,12,50.92,3.15,70.59,51.9,0,7.34,4.26,5.65,3.2,0.01,
Laitham Vandermeer,WBD,FWD,278900,51.9,52,0,52,287715,8815,12,50.92,3.15,70.59,51.9,0,7.34,4.26,5.65,3.2,0.01,
Sam Weideman,MEL,FWD,303800,56.5,52,0,52,287574,-16226,13,55.82,2.59,76.47,44.33,0,8.05,3.51,6.12,2.76,0.01,
Jake Stringer,ESS,FWD,282600,52.6,52,0,52,287293,4693,10,66.14,2.41,58.82,47,0,9.53,3.26,4.71,2.92,0.01,
Roarke Smith,WBD,MID,281400,58.2,52,0,52,286309,4909,5,59,3.76,29.41,72.5,0,8.5,5.09,2.36,4.4,0.01,
Roarke Smith,WBD,FWD,281400,58.2,52,0,52,286309,4909,5,59,3.76,29.41,72.5,0,8.5,5.09,2.36,4.4,0.01,
Kane Farrell,POR,MID,309200,57.5,52,0,52,285887,-23313,11,56.55,3,64.71,39,0.09,8.15,4.06,5.18,2.45,0.49,
Kane Farrell,POR,FWD,309200,57.5,52,0,52,285887,-23313,11,56.55,3,64.71,39,0.09,8.15,4.06,5.18,2.45,0.49,
Isaac Cumming,GWS,DEF,288000,67,52,0,52,285606,-2394,3,66,3.91,17.65,67,0,9.51,5.29,1.42,4.08,0.01,
Ryan Burton,POR,DEF,318800,59.3,52,0,52,285465,-33335,6,71,4.09,35.29,15,0.12,10.23,5.53,2.83,1.06,0.65,
Tobe Watson,FRE,DEF,303700,70.7,52,0,52,285184,-18516,3,69.67,3.33,17.65,70.7,0,10.04,4.51,1.42,4.3,0.01,
David Astbury,RIC,DEF,400400,82.8,52,0,52,285043,-115357,5,68.89,4.25,29.41,35,0,9.93,5.75,2.36,2.22,0.01,
Daniel Howe,HAW,DEF,280500,58,52,0,52,284340,3840,5,70.58,3.37,29.41,50.5,0,10.17,4.56,2.36,3.12,0.01,
Daniel Howe,HAW,MID,280500,58,52,0,52,284340,3840,5,70.58,3.37,29.41,50.5,0,10.17,4.56,2.36,3.12,0.01,
Jake Waterman,WCE,FWD,323600,60.2,52,0,52,284059,-39541,9,58.6,3.6,52.94,42,0,8.45,4.87,4.24,2.63,0.01,
Jake Riccardi,GWS,FWD,336500,69.6,52,0,52,283777,-52723,5,68.6,3.48,29.41,52,0,9.89,4.71,2.36,3.21,0.01,
Will Walker,NME,MID,244500,65,51,0,51,281387,36887,2,64,4.33,11.76,65,0,9.22,5.86,0.95,3.97,0.01,
Will Walker,NME,FWD,244500,65,51,0,51,281387,36887,2,64,4.33,11.76,65,0,9.22,5.86,0.95,3.97,0.01,
Nic Newman,CAR,DEF,415400,23.5,51,0,51,281246,-134154,2,96.27,2.67,11.76,23.5,0,13.87,3.62,0.95,1.55,0.01,
Zaine Cordy,WBD,DEF,313700,58.4,51,0,51,280824,-32876,13,55.47,2.72,76.47,34,0,8,3.68,6.12,2.16,0.01,
Colin O'Riordan,SYD,DEF,268000,49.9,51,0,51,279981,11981,8,60,3.24,47.06,49.9,0,8.65,4.39,3.77,3.09,0.01,
Kysaiah Pickett,MEL,FWD,256400,47.7,51,0,51,278996,22596,14,46.71,2.63,82.35,47.5,0,6.73,3.56,6.59,2.95,0.01,
Oskar Baker,MEL,MID,290100,60,51,0,51,278996,-11104,3,59,4.61,17.65,60,0,8.5,6.23,1.42,3.68,0.01,
Chayce Jones,ADE,MID,236800,44.1,51,0,51,278434,41634,15,47,2.88,88.24,32,0,6.78,3.9,7.06,2.05,0.01,
Mitch Brown,MEL,FWD,280500,52.2,51,0,51,278293,-2207,5,51.2,3.84,29.41,80,0,7.38,5.2,2.36,4.84,0.01,
Levi Greenwood,COL,MID,276800,57.2,51,0,51,277449,649,4,64.5,3.7,23.53,57.33,0,9.3,5.01,1.89,3.52,0.01,
Jay Lockhart,MEL,DEF,289600,53.9,51,0,51,276887,-12713,10,52.9,2.97,58.82,53.9,0,7.63,4.02,4.71,3.32,0.01,
Kyron Hayden,NME,DEF,281400,52.4,50,0,50,274356,-7044,8,51.38,3.29,47.06,52.4,0.12,7.41,4.45,3.77,3.23,0.65,
Mitch McGovern,CAR,FWD,283900,52.8,50,0,50,273653,-10247,12,51.83,2.61,70.59,45,0,7.47,3.53,5.65,2.8,0.01,
Paddy Ryder,STK,RUC,505900,94.2,50,0,50,271824,-234076,13,94.2,0,0.764705882,94.2,0,13.57,0.01,0.07,5.67,0.01,
Jack Bytel,STK,MID,280500,58,49,0,49,270418,-10082,3,57,4.45,17.65,58,0,8.22,6.02,1.42,3.56,0.01,
Archie Smith,BRI,RUC,217100,40.4,49,0,49,269715,52615,5,67.33,3.3775,29.41,40.4,0,9.7,4.57,2.36,2.54,0.01,
Mason Cox,COL,FWD,312200,58.1,49,0,49,269575,-42625,9,57,1.99,52.94,65.5,0,8.22,2.7,4.24,4,0.01,
Sam Wicks,SYD,FWD,316200,58.9,49,0,49,269153,-47047,7,57.86,2.83,41.18,59.75,0,8.34,3.83,3.3,3.66,0.01,
Sam Taylor,GWS,DEF,323400,67,49,0,49,268871,-54529,4,66,2.68,23.53,67,0,9.51,3.63,1.89,4.08,0.01,
Brandon Zerk-Thatcher,ESS,DEF,255200,47.5,49,0,49,268590,13390,10,55,2.71,58.82,44.6,0,7.93,3.67,4.71,2.78,0.01,
Bobby Hill,GWS,FWD,287200,59.4,49,0,49,267465,-19735,5,58.4,2.88,29.41,53,0.2,8.42,3.9,2.36,3.27,1.07,
Mabior Chol,RIC,FWD,327200,60.9,49,0,49,267325,-59875,10,59.09,2.07,58.82,47.67,0,8.52,2.81,4.71,2.96,0.01,
Jarrod Brander,WCE,MID,295500,55,49,0,49,266903,-28597,8,54,3.89,47.06,34,0,7.78,5.26,3.77,2.16,0.01,
Jarrod Brander,WCE,FWD,295500,55,49,0,49,266903,-28597,8,54,3.89,47.06,34,0,7.78,5.26,3.77,2.16,0.01,
Jarman Impey,HAW,FWD,212800,39.6,49,21,70,266762,53962,5,71.12,2.92,29.41,38,0,10.25,3.95,2.36,2.4,0.01,return from injury
Charlie Spargo,MEL,FWD,298200,55.5,48,0,48,264653,-33547,8,54.5,2.74,47.06,56.5,0,7.86,3.71,3.77,3.47,0.01,
Rhylee West,WBD,FWD,278000,57.5,48,0,48,264512,-13488,4,56.5,3.87,23.53,57.5,0,8.14,5.24,1.89,3.53,0.01,
Travis Colyer,FRE,FWD,275800,51.3,48,0,48,263668,-12132,9,50.8,2.96,52.94,51.3,0,7.32,4.01,4.24,3.17,0.01,
Jayden Laverde,ESS,FWD,308000,57.3,48,0,48,263528,-44472,6,62,2.54,35.29,57.3,0,8.94,3.44,2.83,3.52,0.01,
Bailey Banfield,FRE,FWD,288200,59.6,48,0,48,263106,-25094,5,58.6,3.13,29.41,59.6,0,8.45,4.24,2.36,3.65,0.01,
Sam Gray,SYD,FWD,276300,51.4,48,0,48,263106,-13194,7,50.43,3.66,41.18,51.4,0,7.27,4.95,3.3,3.18,0.01,
Mitch Hannan,WBD,FWD,283600,52.8,48,0,48,262965,-20635,9,52.27,2.7,52.94,52.8,0,7.53,3.66,4.24,3.26,0.01,
Hayden McLean,SYD,FWD,317000,59,48,0,48,262262,-54738,6,58,2.16,35.29,59,0.17,8.36,2.93,2.83,3.62,0.91,
Luke Jackson,MEL,FWD,312500,58.2,48,0,48,261559,-50941,6,57.17,2.92,35.29,58.2,0,8.24,3.95,2.83,3.57,0.01,
Changkuoth Jiath,HAW,DEF,266500,49.6,47,0,47,260434,-6066,5,64.5,3.05,29.41,43.5,0,9.3,4.13,2.36,2.72,0.01,
Hayden Young,FRE,DEF,279400,52,47,0,47,260153,-19247,5,51,3.33,29.41,52,0.2,7.35,4.51,2.36,3.21,1.07,
Jordan Clark,GEE,DEF,241800,50,47,0,47,260153,18353,3,58.7,4.08,17.65,50,0,8.46,5.52,1.42,3.09,0.01,
Jordan Clark,GEE,MID,241800,50,47,0,47,260153,18353,3,58.7,4.08,17.65,50,0,8.46,5.52,1.42,3.09,0.01,
Tom Sparrow,MEL,MID,337200,62.8,47,0,47,260012,-77188,5,61.8,3.78,29.41,33,0,8.91,5.11,2.36,2.1,0.01,
Nick Larkey,NME,FWD,263800,49.1,47,0,47,259731,-4069,10,57.42,2.07,58.82,42.5,0,8.28,2.81,4.71,2.66,0.01,
Lewis Taylor,SYD,FWD,265600,49.4,47,0,47,257340,-8260,9,48.44,2.96,52.94,49.4,0,6.98,4.01,4.24,3.06,0.01,
Tarryn Thomas,NME,FWD,290100,54,47,0,47,256215,-33885,6,59.09,2.61,35.29,54,0,8.52,3.53,2.83,3.33,0.01,
Bradley Close,GEE,FWD,257200,53.2,47,0,47,255653,-1547,8,52.25,2.82,47.06,49.33,0,7.53,3.82,3.77,3.05,0.01,
Jack Mahony,NME,FWD,271900,50.6,46,0,46,254668,-17232,10,49.6,2.8,58.82,39,0,7.15,3.79,4.71,2.45,0.01,
Josh Corbett,GCS,FWD,273200,50.9,46,0,46,254247,-18953,7,49.86,3.1,41.18,55,0,7.19,4.2,3.3,3.38,0.01,
Matthew Cottrell,CAR,MID,262200,48.8,46,0,46,250731,-11469,5,47.8,3.77,29.41,56.5,0,6.89,5.1,2.36,3.47,0.01,
Oliver Hanrahan,HAW,FWD,237200,44.1,46,0,46,250169,12969,7,49.44,3.4,41.18,44.1,0,7.13,4.6,3.3,2.75,0.01,
Caleb Graham,GCS,DEF,284800,53,45,0,45,249465,-35335,7,52,2.5,41.18,57.67,0,7.5,3.39,3.3,3.54,0.01,
Jack Payne,BRI,DEF,255100,52.8,45,0,45,249465,-5635,4,59.8,2.79,23.53,56,0,8.62,3.78,1.89,3.44,0.01,
Brayden Ainsworth,WCE,MID,253900,47.2,45,0,45,248481,-5419,8,48,2.99,47.06,47,0,6.92,4.05,3.77,2.92,0.01,
Brayden Ainsworth,WCE,FWD,253900,47.2,45,0,45,248481,-5419,8,48,2.99,47.06,47,0,6.92,4.05,3.77,2.92,0.01,
Ryan Gardner,WBD,DEF,232800,43.3,45,0,45,247215,14415,9,45.5,2.45,52.94,56.2,0,6.56,3.32,4.24,3.45,0.01,
Ben Ronke,SYD,FWD,275600,57,45,0,45,246090,-29510,3,56.2,3.3,17.65,57,0,8.1,4.47,1.42,3.5,0.01,
Sam Sturt,FRE,FWD,265100,61.7,45,0,45,244825,-20275,3,60.67,2.56,17.65,61.7,0,8.74,3.47,1.42,3.77,0.01,
Jack Buckley,GWS,DEF,223800,59.5,44,0,44,243840,20040,2,58.5,3.18,11.76,59.5,0,8.43,4.3,0.95,3.65,0.01,
Jack Buckley,GWS,MID,223800,59.5,44,0,44,243840,20040,2,58.5,3.18,11.76,59.5,0,8.43,4.3,0.95,3.65,0.01,
Darcy Cameron,COL,FWD,302900,56.4,44,0,44,243278,-59622,8,51.7,2.41,47.06,36,0.1,7.45,3.26,3.77,2.28,0.54,
James Bell,SYD,FWD,267300,49.8,44,0,44,241028,-26272,8,48.75,2.95,47.06,37,0,7.03,3.99,3.77,2.34,0.01,
Taylor Garner,NME,FWD,267400,45,44,0,44,239622,-27778,2,59.22,3.5,11.76,45,0,8.54,4.74,0.95,2.8,0.01,
Billy Frampton,ADE,FWD,286100,53.2,44,0,44,239059,-47041,5,52.2,2.83,29.41,53.2,0,7.52,3.83,2.36,3.28,0.01,
