Name,Team,Position,Price,2020_Average,model_proj_score,manual_weight,Proj_Score,proj_salary,value,2020_Games,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,2021 Notes
Josh P. Kennedy,SYD,MID,513500,95.6,99,0,99,541399,27899,12,102.63,7.06,70.59,105,0.42,14.78,9.54,5.65,6.29,2.24,
Jy Simpkin,NME,MID,499700,93,98,0,98,539993,40293,17,92,6.74,100,86.6,0.53,13.25,9.11,8,5.22,2.82,
Rowan Marshall,STK,FWD,557200,103.7,98,-50,48,539571,-17629,17,105.64,4.79,100,102.86,0.47,15.22,6.48,8,6.17,2.5,broken something
Bailey Smith,WBD,MID,494600,92.1,98,0,98,539290,44690,17,90.89,6.85,100,88.6,0.5,13.09,9.26,8,5.34,2.66,
Sam Docherty,CAR,DEF,496000,92.3,98,0,98,538868,42868,16,104.46,6.62,94.12,85,0.31,15.05,8.95,7.53,5.13,1.66,
Ed Curnow,CAR,MID,512600,95.4,98,0,98,538727,26127,17,95.48,6.69,100,93.8,0.35,13.76,9.04,8,5.64,1.87,
Dayne Zorko,BRI,MID,525800,97.9,98,0,98,538587,12787,15,101.92,6.02,88.24,93,0.53,14.68,8.14,7.06,5.6,2.82,
Dayne Zorko,BRI,FWD,525800,97.9,98,0,98,538587,12787,15,101.92,6.02,88.24,93,0.53,14.68,8.14,7.06,5.6,2.82,
Jack Viney,MEL,MID,534900,99.6,98,0,98,538305,3405,16,98.56,6.7,94.12,90.6,0.38,14.2,9.06,7.53,5.46,2.03,
Steven May,MEL,DEF,507900,94.5,98,0,98,537321,29421,17,93.53,5.4,100,110.67,0.53,13.47,7.3,8,6.62,2.82,
Josh Dunkley,WBD,MID,560200,104.3,98,0,98,537321,-22879,11,113.24,5.86,64.71,109.6,0.42,16.31,7.92,5.18,6.56,2.24,
Josh Dunkley,WBD,FWD,560200,104.3,98,0,98,537321,-22879,11,113.24,5.86,64.71,109.6,0.42,16.31,7.92,5.18,6.56,2.24,
David Mundy,FRE,MID,502000,93.4,98,0,98,537180,35180,16,96.4,6.06,94.12,104,0.44,13.89,8.19,7.53,6.24,2.35,
Brayden Maynard,COL,DEF,549900,102.4,97,0,97,533946,-15954,17,95.84,5.87,100,89.71,0.53,13.81,7.94,8,5.4,2.82,
Harry Perryman,GWS,MID,505000,94,97,0,97,532259,27259,16,93,6.16,94.12,98.75,0.5,13.4,8.33,7.53,5.93,2.66,
Tom Hawkins,GEE,FWD,568600,105.8,97,0,97,530290,-38310,17,105.43,3.97,100,101.89,0.57,15.19,5.37,8,6.11,3.04,
Jacob Hopper,GWS,MID,488600,90.9,96,0,96,528180,39580,17,93.2,6.44,100,97.8,0.29,13.43,8.71,8,5.87,1.55,
Andrew McGrath,ESS,MID,510000,94.9,95,0,95,521149,11149,14,93.93,7.32,82.35,78.67,0.43,13.53,9.89,6.59,4.76,2.29,
Michael Walters,FRE,MID,531100,98.9,95,-1,94,521009,-10091,14,99.67,5.88,82.35,84.67,0.57,14.36,7.95,6.59,5.11,3.04,niggle
Michael Walters,FRE,FWD,531100,98.9,95,-1,94,521009,-10091,14,99.67,5.88,82.35,84.67,0.57,14.36,7.95,6.59,5.11,3.04,niggle
Shannon Hurn,WCE,DEF,477800,88.9,95,0,95,520868,43068,16,99.74,5.57,94.12,101,0.29,14.37,7.53,7.53,6.06,1.55,
Nick Haynes,GWS,DEF,528400,98.4,95,0,95,520727,-7673,17,97.35,5.36,100,81.8,0.53,14.02,7.25,8,4.94,2.82,
Marc Murphy,CAR,MID,444700,82.8,95,-10,85,520446,75746,17,98.88,6.55,100,76.6,0.24,14.24,8.85,8,4.64,1.28,old
Robbie Gray,POR,FWD,491100,91.4,95,0,95,519884,28784,17,95.3,5.37,100,104.67,0.32,13.73,7.26,8,6.27,1.71,
Ed Langdon,MEL,MID,487300,90.7,95,0,95,519743,32443,17,89.71,6.77,100,93.33,0.24,12.92,9.15,8,5.61,1.28,
Jarrod Witts,GCS,RUC,501600,93.4,94,0,94,517774,16174,17,95.62,6.16,100,85.6,0.29,13.78,8.33,8,5.16,1.55,
Luke Shuey,WCE,MID,508600,94.7,94,0,94,516790,8190,12,99.19,6.61,70.59,82.67,0.54,14.29,8.94,5.65,4.99,2.88,
Elliot Yeo,WCE,MID,483000,89.9,94,-10,84,515806,32806,10,102.88,6.71,58.82,89.9,0.5,14.82,9.07,4.71,5.42,2.66,surgery
Daniel Rich,BRI,DEF,483100,89.9,94,0,94,513556,30456,13,92.46,6.11,76.47,118.25,0.33,13.32,8.26,6.12,7.06,1.76,
Brad Crouch,STK,MID,448600,83.5,94,-20,74,512993,64393,12,95.12,7.79,70.59,80,0.33,13.7,10.53,5.65,4.84,1.76,suspended 2 weeks
Jack Billings,STK,MID,514800,95.8,94,0,94,512712,-2088,17,92.42,6.35,100,80.29,0.32,13.31,8.58,8,4.86,1.71,
Christian Salem,MEL,DEF,469100,87.3,93,0,93,510603,41503,16,87.45,6.34,94.12,92.67,0.38,12.6,8.57,7.53,5.58,2.03,
Devon Smith,ESS,MID,458000,85.2,93,0,93,510321,52321,16,92.33,6.01,94.12,94.2,0.31,13.3,8.13,7.53,5.67,1.66,
Adam Cerra,FRE,MID,484800,90.2,93,0,93,509196,24396,17,88.76,5.79,100,100.6,0.29,12.79,7.83,8,6.04,1.55,
Dan Houston,POR,DEF,489300,91.1,93,0,93,508634,19334,15,90.53,5.58,88.24,105.75,0.41,13.04,7.54,7.06,6.34,2.19,
James Sicily,HAW,DEF,552900,102.9,92,-20,72,505962,-46938,11,101.18,5.66,64.71,102.9,0.45,14.58,7.65,5.18,6.17,2.4,out for season
Scott Lycett,POR,RUC,520700,96.9,92,0,92,504415,-16285,13,98.39,6.23,76.47,89.67,0.33,14.17,8.42,6.12,5.4,1.76,
Will Setterfield,CAR,MID,481900,89.7,92,0,92,502306,20406,16,88.69,5.42,94.12,100.75,0.38,12.78,7.33,7.53,6.05,2.03,
Rhys Stanley,GEE,RUC,551900,102.7,91,0,91,501181,-50719,7,97.45,7.2275,41.18,102.17,0.45,14.04,9.77,3.3,6.13,2.4,
Brad Sheppard,WCE,DEF,492700,91.7,91,0,91,501040,8340,17,88.89,5.55,100,86.83,0.39,12.81,7.5,8,5.24,2.08,
Dom Sheed,WCE,MID,478500,89.1,91,0,91,500478,21978,16,88.96,6.9,94.12,71.8,0.29,12.82,9.33,7.53,4.36,1.55,
Darcy Parish,ESS,MID,465800,86.7,91,0,91,498650,32850,17,85.71,6.34,100,92.5,0.18,12.35,8.57,8,5.57,0.97,
Sebastian Ross,STK,MID,417900,77.8,91,-5,86,497665,79765,14,99.13,6.13,82.35,86.4,0.19,14.28,8.29,6.59,5.21,1.02,bad
Joel Selwood,GEE,MID,445000,82.8,91,0,91,497103,52103,11,105.08,5.54,64.71,96.2,0.33,15.14,7.49,5.18,5.78,1.76,
Jaeger O'Meara,HAW,MID,488000,90.8,90,0,90,495978,7978,12,89.5,6.62,70.59,92,0.42,12.89,8.95,5.65,5.54,2.24,
Mark Blicavs,GEE,DEF,531600,98.9,90,-1,89,495837,-35763,17,95.62,4.03,100,95.56,0.43,13.78,5.45,8,5.74,2.29,niggle
Mark Blicavs,GEE,MID,531600,98.9,90,-1,89,495837,-35763,17,95.62,4.03,100,95.56,0.43,13.78,5.45,8,5.74,2.29,niggle
James Worpel,HAW,MID,474200,88.3,90,0,90,495134,20934,15,95.71,6.08,88.24,84,0.2,13.79,8.22,7.06,5.07,1.07,
Zak Jones,STK,MID,494700,92.1,89,0,89,490493,-4207,14,87.25,6.5,82.35,81,0.38,12.57,8.79,6.59,4.9,2.03,
Jordan Dawson,SYD,DEF,485700,85.4,89,0,89,488525,2825,16,84.38,5.55,94.12,98,0.31,12.16,7.5,7.53,5.89,1.66,
Brodie Smith,ADE,DEF,438200,81.6,89,0,89,486837,48637,16,84.92,6.08,94.12,82.5,0.31,12.23,8.22,7.53,4.98,1.66,
Brodie Smith,ADE,MID,438200,81.6,89,0,89,486837,48637,16,84.92,6.08,94.12,82.5,0.31,12.23,8.22,7.53,4.98,1.66,
Tim Taranto,GWS,MID,453700,84.5,89,6,95,485853,32153,11,100.57,6.46,64.71,77.8,0.27,14.49,8.73,5.18,4.71,1.44,return from injury
Lachie Weller,GCS,MID,436500,81.2,89,0,89,485431,48931,17,84.32,5.92,100,79.6,0.29,12.15,8,8,4.82,1.55,
Liam Duggan,WCE,DEF,448600,83.5,89,4,93,485290,36690,16,82.29,5.77,94.12,96,0.29,11.86,7.8,7.53,5.77,1.55,def to mid role change
