,Name,Team,Position,proj_score,proj_salary,Price,value,2020_Games,2020_Average,talent,opportunity,durability,form,consistency,weighted_talent,weighted_opportunity,weighted_durability,weighted_form,weighted_consistency,manual_weight,updated_proj
299,Sam Reid,SYD,FWD,69,372370,328300,44070,10,61.1,98,2.87,58.82,61.2,0,14.12,3.89,4.71,3.75,0.01,0,69
300,Jake Kelly,ADE,DEF,69,371808,309800,62008,15,57.7,73.71,2.95,88.24,72.25,0.07,10.62,3.99,7.06,4.39,0.38,0,69
301,Stefan Martin,WBD,RUC,69,371667,272200,99467,6,50.7,99.46,4.5325,35.29,50.7,0,14.33,6.13,2.83,3.13,0.01,0,69
302,Darcy MacPherson,GCS,FWD,69,370823,306700,64123,12,57.1,78.92,4,70.59,57.1,0.08,11.37,5.41,5.65,3.51,0.43,0,69
303,Anthony McDonald-Tipungwuti,ESS,FWD,69,370542,370400,142,17,68.9,68.68,2.86,100,69.83,0.06,9.9,3.87,8,4.25,0.33,0,69
304,Chris Mayne,COL,MID,69,370542,373400,-2858,12,69.5,73.13,4.6,70.59,58,0.07,10.54,6.22,5.65,3.56,0.38,0,69
305,Justin McInerney,SYD,MID,69,369558,384400,-14842,9,71.6,70.56,4.74,52.94,80.5,0.11,10.17,6.41,4.24,4.87,0.59,0,69
306,Jeremy Finlayson,GWS,FWD,69,369136,346700,22436,15,64.5,76.4,2.75,88.24,67,0.07,11.01,3.72,7.06,4.08,0.38,0,69
307,Robbie Fox,SYD,DEF,69,368292,385700,-17408,14,71.8,70.79,3.51,82.35,63.8,0.14,10.2,4.75,6.59,3.9,0.75,0,69
308,Harry Morrison,HAW,DEF,69,368011,358500,9511,11,66.7,70,4.5,64.71,71,0.09,10.09,6.09,5.18,4.32,0.49,0,69
309,Harry Morrison,HAW,MID,69,368011,358500,9511,11,66.7,70,4.5,64.71,71,0.09,10.09,6.09,5.18,4.32,0.49,0,69
310,Aliir Aliir,POR,DEF,68,367589,321200,46389,14,59.8,75.17,3.29,82.35,70,0,10.83,4.45,6.59,4.26,0.01,0,68
311,Grant Birchall,BRI,DEF,68,367308,375300,-7992,14,69.9,66.5,4.54,82.35,62.2,0,9.58,6.14,6.59,3.8,0.01,0,68
312,Gary Rohan,GEE,FWD,68,367308,392200,-24892,15,73,69.26,2.8,88.24,68.43,0.21,9.98,3.79,7.06,4.17,1.12,0,68
313,Peter Ladhams,POR,FWD,68,367167,460000,-92833,8,85.6,80.9,4.28,47.06,53.33,0.3,11.66,5.79,3.77,3.29,1.6,0,68
314,Taylin Duman,FRE,DEF,68,366745,354600,12145,15,66,64.6,3.8,88.24,68.8,0.07,9.31,5.14,7.06,4.19,0.38,0,68
315,Tom Scully,HAW,MID,68,366183,290500,75683,14,54.1,63.26,4.31,82.35,74,0,9.12,5.83,6.59,4.49,0.01,0,68
316,Tom Scully,HAW,FWD,68,366183,290500,75683,14,54.1,63.26,4.31,82.35,74,0,9.12,5.83,6.59,4.49,0.01,0,68
317,Izak Rankine,GCS,FWD,68,365901,371600,-5699,12,69.2,68.17,4.03,70.59,61.4,0.25,9.82,5.45,5.65,3.76,1.34,0,68
318,George Hewett,SYD,MID,67,360839,374700,-13861,6,77.5,81.54,4.72,35.29,77.5,0,11.75,6.38,2.83,4.69,0.01,0,67
319,Mason Redman,ESS,DEF,67,360698,330200,30498,13,61.5,75.5,4.04,76.47,51.33,0,10.88,5.47,6.12,3.17,0.01,0,67
320,Jarrod Harbrow,GCS,DEF,67,360698,309100,51598,13,57.5,75.86,4.34,76.47,43.5,0,10.93,5.87,6.12,2.72,0.01,0,67
321,Jack Henry,GEE,DEF,67,359573,325500,34073,17,60.6,63.19,3.14,100,64.44,0.05,9.11,4.25,8,3.93,0.28,0,67
322,Jake Carlisle,STK,DEF,67,359292,372500,-13208,12,69.3,74.11,3.84,70.59,58.5,0.08,10.68,5.2,5.65,3.59,0.43,0,67
323,Bryce Gibbs,ADE,DEF,67,359292,290100,69192,3,60,90.96,5.43,17.65,60,0,13.1,7.34,1.42,3.68,0.01,0,67
324,Shane McAdam,ADE,FWD,67,359151,354600,4551,13,66,65,3.32,76.47,85,0.08,9.37,4.49,6.12,5.13,0.43,0,67
325,Isaac Quaynor,COL,DEF,67,358870,405300,-46430,9,75.4,71.18,4.27,52.94,78.5,0.09,10.26,5.78,4.24,4.75,0.49,0,67
326,Daniel Rioli,RIC,FWD,67,358870,341500,17370,14,63.6,64.83,3.75,82.35,74.38,0,9.34,5.07,6.59,4.51,0.01,0,67
327,Trent Rivers,MEL,DEF,67,358589,350400,8189,9,65.2,64.22,4.61,52.94,86,0.11,9.25,6.23,4.24,5.19,0.59,0,67
328,Noah Balta,RIC,DEF,67,357745,373600,-15855,13,69.5,66.12,3.73,76.47,67.11,0.12,9.53,5.05,6.12,4.09,0.65,0,67
329,Taylor Duryea,WBD,FWD,67,357605,342200,15405,2,91,84.33,5.06,11.76,91,0,12.15,6.84,0.95,5.48,0.01,0,67
330,Taylor Duryea,WBD,DEF,67,357605,342200,15405,2,91,84.33,5.06,11.76,91,0,12.15,6.84,0.95,5.48,0.01,0,67
331,Tom Clurey,POR,DEF,67,357464,335500,21964,16,62.4,70.48,3.17,94.12,50.2,0.06,10.16,4.29,7.53,3.11,0.33,0,67
332,Tom McDonald,MEL,FWD,66,356480,323000,33480,9,60.1,89.73,2.89,52.94,60.1,0.11,12.93,3.91,4.24,3.68,0.59,0,66
333,Tom Green,GWS,MID,66,356480,351400,5080,6,72.7,71.67,5.08,35.29,72.7,0.17,10.33,6.87,2.83,4.41,0.91,0,66
334,Nathan Jones,MEL,MID,66,354792,292100,62692,8,54.4,91.11,4.38,47.06,38,0,13.13,5.92,3.77,2.4,0.01,0,66
335,Nathan Jones,MEL,FWD,66,354792,292100,62692,8,54.4,91.11,4.38,47.06,38,0,13.13,5.92,3.77,2.4,0.01,0,66
336,Lachlan Keeffe,GWS,DEF,66,354089,372800,-18711,13,69.4,68.38,2.99,76.47,78.2,0.08,9.85,4.05,6.12,4.73,0.43,0,66
337,Josh Battle,STK,MID,66,354089,362900,-8811,13,67.5,69.29,3.47,76.47,59.17,0.14,9.98,4.7,6.12,3.63,0.75,0,66
338,Josh Battle,STK,FWD,66,354089,362900,-8811,13,67.5,69.29,3.47,76.47,59.17,0.14,9.98,4.7,6.12,3.63,0.75,0,66
339,David Cuningham,CAR,FWD,66,352964,340700,12264,12,63.4,63.44,4.09,70.59,63.4,0.17,9.14,5.53,5.65,3.87,0.91,0,66
340,Andrew McPherson,ADE,DEF,66,352823,368300,-15477,9,68.6,67.56,4.48,52.94,83.5,0,9.74,6.06,4.24,5.04,0.01,0,66
341,Dyson Heppell,ESS,MID,66,352823,319100,33723,3,66,94.96,4.41,17.65,66,0,13.68,5.96,1.42,4.02,0.01,14,80
342,Steven Motlop,POR,FWD,66,352683,308500,44183,12,57.4,64.71,3.42,70.59,78,0.14,9.33,4.63,5.65,4.72,0.75,0,66
343,Will Hayward,SYD,FWD,65,351698,327100,24598,16,60.9,59.88,3.44,94.12,63.2,0.06,8.63,4.66,7.53,3.86,0.33,0,65
344,Jack Madgen,COL,DEF,65,351277,380500,-29223,11,70.8,67.15,3.79,64.71,68.71,0.15,9.68,5.13,5.18,4.18,0.81,0,65
345,Jed Bews,GEE,DEF,65,351277,341800,9477,16,63.6,59.9,3.51,94.12,62,0.05,8.63,4.75,7.53,3.79,0.28,0,65
346,Wayne Milera,ADE,DEF,65,350995,312200,38795,2,83,82,5.31,11.76,83,0,11.81,7.18,0.95,5.01,0.01,10,75
347,Sam Mayes,POR,DEF,65,350714,342500,8214,6,70.8,69.83,4.43,35.29,70.8,0.33,10.06,5.99,2.83,4.3,1.76,0,65
348,Zac Fisher,CAR,FWD,65,350714,394200,-43486,8,73.4,72.38,4.76,47.06,59.5,0.12,10.43,6.44,3.77,3.65,0.65,0,65
349,Nick Blakey,SYD,MID,65,350292,318700,31592,16,59.3,58.31,3.46,94.12,65,0.06,8.4,4.68,7.53,3.97,0.33,0,65
350,Nick Blakey,SYD,FWD,65,350292,318700,31592,16,59.3,58.31,3.46,94.12,65,0.06,8.4,4.68,7.53,3.97,0.33,0,65
351,Sam Day,GCS,FWD,65,350011,298300,51711,17,55.5,65.1,3.03,100,49.8,0.06,9.38,4.1,8,3.08,0.33,0,65
352,Josh Caddy,RIC,MID,65,349308,335100,14208,8,62.4,79.17,4.31,47.06,62.4,0,11.41,5.83,3.77,3.82,0.01,0,65
353,Tom Cole,WCE,DEF,65,349027,364600,-15573,14,67.9,65.27,3.66,82.35,63.17,0,9.41,4.95,6.59,3.86,0.01,0,65
354,Elliott Himmelberg,ADE,FWD,65,348745,358000,-9255,11,66.6,65.64,3.41,64.71,83.8,0.09,9.46,4.61,5.18,5.06,0.49,0,65
355,Josh Walker,NME,DEF,65,348183,329600,18583,17,61.4,60.35,3.57,100,46.6,0.06,8.7,4.83,8,2.9,0.33,0,65
356,Jordan De Goey,COL,FWD,65,348183,435200,-87017,8,81,79.67,4.26,47.06,52,0.1,11.48,5.76,3.77,3.21,0.54,0,65
357,Andrew Phillips,ESS,RUC,65,348183,353000,-4817,5,73,72,4.0425,29.41,73,0.4,10.37,5.47,2.36,4.43,2.13,0,65
358,Jake Melksham,MEL,FWD,65,348042,296800,51242,17,55.2,65.13,3.17,100,49.5,0,9.39,4.29,8,3.06,0.01,0,65
359,Taylor Walker,ADE,FWD,65,347198,298200,48998,14,55.5,76,2.65,82.35,51.5,0.07,10.95,3.59,6.59,3.18,0.38,0,65
360,Tim O'Brien,HAW,FWD,65,346777,297500,49277,16,55.4,69.33,2.3,94.12,65.8,0,9.99,3.12,7.53,4.01,0.01,0,65
361,Brendon Ah Chee,WCE,FWD,64,346355,310200,36155,15,57.7,67,3.38,88.24,54,0,9.66,4.57,7.06,3.33,0.01,0,64
362,Cameron Zurhaar,NME,FWD,64,345652,337800,7852,16,62.9,62.81,3.25,94.12,53,0.06,9.05,4.4,7.53,3.27,0.33,0,64
363,Alex Keath,WBD,DEF,64,345230,323900,21330,17,60.3,58.83,3.21,100,55.2,0.06,8.48,4.34,8,3.4,0.33,0,64
364,Lachie Ash,GWS,DEF,64,345089,320600,24489,12,59.7,58.67,3.8,70.59,87.5,0,8.46,5.14,5.65,5.28,0.01,0,64
