Name,Team,Position,Price,Proj_Score,Type
Daniel Rich,BRI,DEF,483100,89,Normal
Christian Salem,MEL,DEF,469100,89,Normal
Ed Langdon,MEL,MID,487300,89,Normal
Adam Cerra,FRE,MID,484800,89,Normal
Will Setterfield,CAR,MID,481900,89,Normal
Scott Lycett,POR,RUC,520700,89,Normal
Jarrod Berry,BRI,MID,521500,87,Normal
Dom Sheed,WCE,MID,478500,87,Normal
James Worpel,HAW,MID,474200,87,Normal
Sebastian Ross,STK,MID,417900,87,Normal
Rhys Stanley,GEE,RUC,551900,87,Normal
Ben McEvoy,HAW,RUC,456000,87,Normal
Jordan Dawson,SYD,DEF,485700,86,Normal
Nick Vlastuin,RIC,DEF,483500,86,Normal
Kyle Langford,ESS,FWD,436900,86,Normal
Jack Ziebell,NME,FWD,257900,86,Normal
Zak Jones,STK,MID,494700,86,Normal
Jaeger O'Meara,HAW,MID,488000,86,Normal
Rory Sloane,ADE,MID,471900,86,Normal
Kyle Langford,ESS,MID,436900,86,Normal
Robbie Tarrant,NME,DEF,463100,85,Normal
Brodie Smith,ADE,DEF,438200,85,Normal
Darcy Parish,ESS,MID,465800,85,Normal
Ben Cunnington,NME,MID,439800,85,Normal
Brodie Smith,ADE,MID,438200,85,Normal
Lachie Weller,GCS,MID,436500,85,Normal
Dane Rampe,SYD,DEF,492300,84,Normal
Ben McEvoy,HAW,DEF,456000,84,Normal
Liam Duggan,WCE,DEF,448600,84,Normal
Darcy Byrne-Jones,POR,DEF,441800,84,Normal
Shai Bolton,RIC,FWD,462400,84,Normal
Zac Bailey,BRI,FWD,420300,84,Normal
Liam Ryan,WCE,FWD,409600,84,Normal
Shai Bolton,RIC,MID,462400,84,Normal
Trent Cotchin,RIC,MID,443500,84,Normal
Zac Bailey,BRI,MID,420300,84,Normal
Dyson Heppell,ESS,MID,319100,84,Normal
Bailey Williams,WBD,DEF,452600,83,Normal
Trent McKenzie,POR,DEF,388300,83,Normal
Charlie Dixon,POR,FWD,498700,83,Normal
Zak Butters,POR,FWD,471400,83,Normal
Chad Wingard,HAW,FWD,452300,83,Normal
Jared Polec,NME,MID,477800,83,Normal
Angus Brayshaw,MEL,MID,435200,83,Normal
Liam Shiels,HAW,MID,420100,83,Normal
Oscar McInerney,BRI,RUC,443400,83,Normal
Jye Caldwell,ESS,FWD,348600,82,Normal
Toby Greene,GWS,FWD,448400,82,Normal
Kane Lambert,RIC,FWD,445900,82,Normal
Jack Gunston,HAW,FWD,438200,82,Normal
Tom Phillips,HAW,FWD,402600,82,Normal
Jeremy Cameron,GEE,FWD,388100,82,Normal
Jye Caldwell,ESS,MID,348600,82,Normal
Brandon Ellis,GCS,MID,450600,82,Normal
Mitch Robinson,BRI,MID,418800,82,Normal
Tom Phillips,HAW,MID,402600,82,Normal
Harris Andrews,BRI,DEF,469700,81,Normal
Alex Witherden,WCE,DEF,456100,81,Normal
Jack Bowes,GCS,DEF,451300,81,Normal
Hamish Hartlett,POR,DEF,421900,81,Normal
Sam Petrevski-Seton,CAR,DEF,401400,81,Normal
Jack Darling,WCE,FWD,434900,81,Normal
David Swallow,GCS,MID,438400,81,Normal
Ben Keays,ADE,MID,436200,81,Normal
Jason Johannisen,WBD,DEF,448300,80,Normal
Tom Barrass,WCE,DEF,447200,80,Normal
Jack Lukosius,GCS,DEF,430800,80,Normal
Josh Daicos,COL,MID,442200,80,Normal
Jack Sinclair,STK,MID,426600,80,Normal
Michael Hurley,ESS,DEF,431400,79,Normal
Noah Anderson,GCS,MID,411500,79,Normal
Marlion Pickett,RIC,MID,386500,79,Normal
Jeremy McGovern,WCE,DEF,462100,78,Normal
Nick Coffield,STK,DEF,426500,78,Normal
James Harmes,MEL,DEF,344700,78,Normal
Jack Martin,CAR,FWD,446300,78,Normal
Tom Papley,SYD,FWD,428600,78,Normal
Caleb Serong,FRE,MID,435600,78,Normal
Jack Redden,WCE,MID,377900,78,Normal
Hayden Crozier,WBD,DEF,409100,77,Normal
Michael Hibberd,MEL,DEF,378000,77,Normal
Tom Jonas,POR,DEF,373600,77,Normal
Dan Butler,STK,FWD,416900,77,Normal
Tom Lynch,ADE,FWD,407900,77,Normal
Brandan Parfitt,GEE,MID,455100,77,Normal
Jack Graham,RIC,MID,446400,77,Normal
Karl Amon,POR,MID,431400,77,Normal
Darcy Moore,COL,DEF,430200,76,Normal
Sam Collins,GCS,DEF,422500,76,Normal
Jake Lever,MEL,DEF,419400,76,Normal
Isaac Heeney,SYD,FWD,454500,76,Normal
Sam Powell-Pepper,POR,FWD,404500,76,Normal
Tim Membrey,STK,FWD,363700,76,Normal
Jade Gresham,STK,MID,438100,76,Normal
Oliver Florent,SYD,MID,408300,76,Normal
Sam Powell-Pepper,POR,MID,404500,76,Normal
Dom Tyson,NME,MID,243900,76,Normal
Shane Mumford,GWS,RUC,420700,76,Normal
Callum Sinclair,SYD,RUC,414100,76,Normal
Stefan Martin,WBD,RUC,272200,76,Normal
Jacob Weitering,CAR,DEF,410400,75,Normal
Harry Cunningham,SYD,DEF,410400,75,Normal
Oleg Markov,GCS,DEF,314300,75,Normal
Ben Ainsworth,GCS,FWD,406300,75,Normal
Jack Newnes,CAR,FWD,401700,75,Normal
Will Brodie,GCS,FWD,344900,75,Normal
Blake Acres,FRE,MID,453600,75,Normal
Callan Ward,GWS,MID,409900,75,Normal
Zach Tuohy,GEE,MID,405100,75,Normal
