"","Name","Team","Position","Proj_Score","Price","adp"
"212","Luke Breust","HAW","FWD",74,428100,2
"213","Charlie Cameron","BRI","FWD",74,395400,2
"214","Mitch Wallis","WBD","FWD",74,379900,2
"215","Marc Pittonet","CAR","RUC",74,421500,-13
"216","Callum Wilkie","STK","DEF",73,409000,-7
"217","Oscar Allen","WCE","FWD",73,422100,1
"218","Isaac Smith","GEE","FWD",73,397600,1
"219","Toby McLean","WBD","FWD",73,366700,1
"220","Jack Riewoldt","RIC","FWD",73,344500,1
"221","Paul Seedsman","ADE","MID",73,429800,-22
"222","Isaac Smith","GEE","MID",73,397600,-22
"223","Ivan Soldo","RIC","RUC",73,403000,-14
"224","Brennan Cox","FRE","DEF",72,433500,-8
"225","Jackson Nelson","WCE","DEF",72,397600,-8
"226","Jordan Clark","GEE","DEF",72,241800,-8
"227","Michael Gibbons","CAR","FWD",72,401500,0
"228","Gryan Miers","GEE","FWD",72,387100,0
"229","Jamie Cripps","WCE","FWD",72,373600,0
"230","Will Snelling","ESS","FWD",72,368500,0
"231","Levi Casboult","CAR","FWD",72,349900,0
"232","James Rowbottom","SYD","MID",72,405600,-23
"233","Jordan Clark","GEE","MID",72,241800,-23
"234","Peter Ladhams","POR","RUC",72,460000,-15
"235","Ethan Hughes","FRE","DEF",71,381800,-9
"236","Blake Hardwick","HAW","DEF",71,373100,-9
"237","Dougal Howard","STK","DEF",71,355200,-9
"238","Shaun Burgoyne","HAW","FWD",71,378600,-1
"239","Connor Rozee","POR","FWD",71,377200,-1
"240","Shane Edwards","RIC","MID",71,416700,-24
"241","Jimmy Webster","STK","DEF",70,274000,-10
"242","Aaron Hall","NME","FWD",70,392200,-2
"243","David Zaharakis","ESS","FWD",70,351400,-2
"244","Sam Reid","SYD","FWD",70,328300,-2
"245","Jarman Impey","HAW","FWD",70,212800,-2
"246","James Cousins","HAW","MID",70,412600,-25
"247","Jonathon Ceglar","HAW","RUC",70,388100,-17
"248","Jack Scrimshaw","HAW","DEF",69,399600,-11
"249","John Noble","COL","DEF",69,393300,-11
"250","Dylan Grimes","RIC","DEF",69,382800,-11
"251","Aidan Corr","NME","DEF",69,381100,-11
"252","Mark O'Connor","GEE","DEF",69,380800,-11
"253","Jack Higgins","STK","FWD",69,419600,-3
"254","Eric Hipwood","BRI","FWD",69,391300,-3
"255","Luke Dahlhaus","GEE","FWD",69,375200,-3
"256","Brody Mihocek","COL","FWD",69,366000,-3
"257","Bayley Fritsch","MEL","FWD",69,359300,-3
"258","Luke Davies-Uniacke","NME","MID",69,432800,-26
"259","Xavier Duursma","POR","MID",69,398400,-26
"260","Kamdyn McIntosh","RIC","MID",69,381500,-26
"261","Orazio Fantasia","POR","DEF",68,271800,-12
"262","Nathan Wilson","FRE","DEF",68,395100,-12
"263","Liam Jones","CAR","DEF",68,387500,-12
"264","Luke Brown","ADE","DEF",68,363400,-12
"265","Jarryn Geary","STK","DEF",68,320400,-12
"266","Jake Kelly","ADE","DEF",68,309800,-12
"267","Joe Daniher","BRI","FWD",68,233300,-4
"268","Orazio Fantasia","POR","FWD",68,271800,-4
"269","Peter Ladhams","POR","FWD",68,460000,-4
"270","Gary Rohan","GEE","FWD",68,392200,-4
"271","Lincoln McCarthy","BRI","FWD",68,354600,-4
"272","Jeremy Finlayson","GWS","FWD",68,346700,-4
"273","Dan Hannebery","STK","MID",68,338500,-27
"274","Sam Naismith","SYD","RUC",68,376100,-19
"275","Robbie Fox","SYD","DEF",67,385700,-13
"276","Ben Long","STK","DEF",67,384100,-13
"277","Darcy Gardiner","BRI","DEF",67,362800,-13
"278","Lachie Plowman","CAR","DEF",67,354900,-13
"279","Stephen Hill","FRE","DEF",67,338000,-13
"280","Matthew Kennedy","CAR","FWD",67,437500,-5
"281","Anthony McDonald-Tipungwuti","ESS","FWD",67,370400,-5
"282","Jamie Elliott","COL","FWD",67,362700,-5
"283","Tom McDonald","MEL","FWD",67,323000,-5
"284","Darcy MacPherson","GCS","FWD",67,306700,-5
"285","Matthew Kennedy","CAR","MID",67,437500,-28
"286","Jamie Elliott","COL","MID",67,362700,-28
"287","Bradley Hill","STK","MID",67,354000,-28
"288","Ryan Lester","BRI","DEF",66,380200,-14
"289","Lachie Henderson","GEE","DEF",66,377700,-14
"290","Wil Powell","GCS","DEF",66,358900,-14
"291","Ben Paton","STK","DEF",66,344200,-14
"292","Aliir Aliir","POR","DEF",66,321200,-14
"293","Izak Rankine","GCS","FWD",66,371600,-6
"294","Will Hoskin-Elliott","COL","FWD",66,337500,-6
"295","Patrick Lipinski","WBD","MID",66,429800,-29
"296","Ryan Clarke","SYD","MID",66,407800,-29
"297","Callum Ah Chee","BRI","DEF",65,353300,-15
"298","Tom Clurey","POR","DEF",65,335500,-15
"299","Changkuoth Jiath","HAW","DEF",65,266500,-15
"300","Brent Daniels","GWS","FWD",65,356600,-7
"301","Jason Castagna","RIC","FWD",65,341000,-7
"302","Taylor Walker","ADE","FWD",65,298200,-7
"303","Luke Dunstan","STK","MID",65,395400,-30
"304","Chris Mayne","COL","MID",65,373400,-30
"305","Darcy Fort","GEE","RUC",65,390700,-22
"306","David Mackay","ADE","DEF",64,393300,-16
"307","Damon Greaves","HAW","DEF",64,389700,-16
"308","Jake Carlisle","STK","DEF",64,372500,-16
"309","Taylin Duman","FRE","DEF",64,354600,-16
"310","Mason Redman","ESS","DEF",64,330200,-16
"311","Jack Henry","GEE","DEF",64,325500,-16
"312","Jarrod Harbrow","GCS","DEF",64,309100,-16
"313","Brett Bewley","FRE","FWD",64,388200,-8
"314","Rhys Mathieson","BRI","FWD",64,364800,-8
"315","Josh Battle","STK","FWD",64,362900,-8
"316","Sam Day","GCS","FWD",64,298300,-8
"317","Tim O'Brien","HAW","FWD",64,297500,-8
"318","Nathan Jones","MEL","FWD",64,292100,-8
"319","Brett Bewley","FRE","MID",64,388200,-31
"320","Rhys Mathieson","BRI","MID",64,365800,-31
"321","Josh Battle","STK","MID",64,362900,-31
"322","Nathan Jones","MEL","MID",64,292100,-31
"323","Esava Ratugolea","GEE","RUC",64,369400,-23
"324","Grant Birchall","BRI","DEF",63,375300,-17
"325","Noah Balta","RIC","DEF",63,373600,-17
"326","Lachlan Keeffe","GWS","DEF",63,372800,-17
"327","Reece Conca","FRE","DEF",63,370300,-17
"328","Harry Morrison","HAW","DEF",63,358500,-17
"329","Daniel Talia","ADE","DEF",63,354600,-17
"330","Shane McAdam","ADE","FWD",63,354600,-9
"331","Jake Melksham","MEL","FWD",63,296800,-9
"332","Justin McInerney","SYD","MID",63,384400,-32
"333","Harry Morrison","HAW","MID",63,358500,-32
"334","Andrew Phillips","ESS","RUC",63,353000,-24
"335","Isaac Quaynor","COL","DEF",62,405300,-18
"336","Will Day","HAW","DEF",62,384400,-18
"337","Jack Madgen","COL","DEF",62,380500,-18
"338","Sam Mayes","POR","DEF",62,342500,-18
"339","Jed Bews","GEE","DEF",62,341800,-18
"340","Josh Walker","NME","DEF",62,329600,-18
"341","Bryce Gibbs","ADE","DEF",62,290100,-18
"342","Jordan De Goey","COL","FWD",62,435200,-10
"343","Daniel Rioli","RIC","FWD",62,341500,-10
"344","David Cuningham","CAR","FWD",62,340700,-10
"345","Cameron Zurhaar","NME","FWD",62,337800,-10
"346","Will Hayward","SYD","FWD",62,327100,-10
"347","Brendon Ah Chee","WCE","FWD",62,310200,-10
"348","Steven Motlop","POR","FWD",62,308500,-10
"349","Tom Scully","HAW","FWD",62,290500,-10
"350","Tom Scully","HAW","MID",62,290500,-33
"351","Josh Jenkins","GEE","RUC",62,323400,-25
"352","Tom Cole","WCE","DEF",61,364600,-19
"353","Griffin Logue","FRE","DEF",61,339400,-19
"354","Alex Keath","WBD","DEF",61,323900,-19
"355","Zac Fisher","CAR","FWD",61,394200,-11
"356","Esava Ratugolea","GEE","FWD",61,369400,-11
"357","Elliott Himmelberg","ADE","FWD",61,358000,-11
"358","Jaidyn Stephenson","NME","FWD",61,354100,-11
"359","Nick Blakey","SYD","FWD",61,318700,-11
"360","George Hewett","SYD","MID",61,374700,-34
"361","Josh Caddy","RIC","MID",61,335100,-34
"362","Nick Blakey","SYD","MID",61,318700,-34
"363","James Sicily","HAW","DEF",60,552900,-20
"364","Steven May","MEL","DEF",60,507900,-20
"365","Bachar Houli","RIC","DEF",60,465600,-20
"366","Zac Williams","CAR","DEF",60,458600,-20
"367","Tom Doedee","ADE","DEF",60,457900,-20
"368","Trent Rivers","MEL","DEF",60,350400,-20
"369","Nathan Broad","RIC","DEF",60,349200,-20
"370","Taylor Duryea","WBD","DEF",60,342200,-20
"371","Easton Wood","WBD","DEF",60,297700,-20
"372","Rowan Marshall","STK","FWD",60,557200,-12
"373","Michael Walters","FRE","FWD",60,531100,-12
"374","Rory Lobb","FRE","FWD",60,415000,-12
"375","Taylor Duryea","WBD","FWD",60,342200,-12
"376","Alex Sexton","GCS","FWD",60,330000,-12
"377","Josh Thomas","COL","FWD",60,305800,-12
"378","Mitch Duncan","GEE","MID",60,556700,-35
"379","Michael Walters","FRE","MID",60,531100,-35
"380","Dion Prestia","RIC","MID",60,446800,-35
