Name,Team,Position,Price,2020_Games,2020_Average,dollar_Per_Point
Alex Davies,GCS,MID,"$102,400",0,0,0
Aiden Fyfe,GCS,DEF/MID,"$102,400",0,0,0
Hawego Paul Oea,GCS,MID/FWD,"$102,400",0,0,0
Jack Saunders,HAW,MID/FWD,"$102,400",0,0,0
Taj Schofield,POR,MID,"$102,400",0,0,0
Zane Trew,WCE,MID,"$102,400",0,0,0
Lachlan McNeil,WBD,MID,"$102,400",0,0,0
Josh Treacy,FRE,RUC/FWD,"$102,400",0,0,0
Paul Tsapatolis,GEE,RUC,"$102,400",0,0,0
Mate Colina,RIC,RUC,"$102,400",0,0,0
Tariek Newchurch,ADE,MID/FWD,"$102,400",0,0,0
Isaac Chugg,COL,DEF/FWD,"$102,400",0,0,0
Jack Ginnivan,COL,MID/FWD,"$102,400",0,0,0
Josh Treacy,FRE,RUC/FWD,"$102,400",0,0,0
Hawego Paul Oea,GCS,MID/FWD,"$102,400",0,0,0
Jack Saunders,HAW,MID/FWD,"$102,400",0,0,0
Marc Sheather,SYD,FWD,"$102,400",0,0,0
James Borlase,ADE,DEF,"$102,400",0,0,0
Deividas Uosis,BRI,DEF,"$102,400",0,0,0
Luke Parks,CAR,DEF,"$102,400",0,0,0
Isaac Chugg,COL,DEF / FWD,"$102,400",0,0,0
Aiden Fyfe,GCS,DEF / MID,"$102,400",0,0,0
Joel Jeffrey,GCS,DEF,"$102,400",0,0,0
Rhys Nicholls,GCS,DEF,"$102,400",0,0,0
Will Shaw,GWS,DEF,"$102,400",0,0,0
Patrick Walker,NME,DEF,"$102,400",0,0,0
Malachy Carruthers,SYD,DEF,"$102,400",0,0,0
