"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency","manual_weight"
"141","Angus Brayshaw","MEL","MID",83,453313,435200,18113,14,81,91.79,5.61,82.35,78.33,0.21,16.53,2.92,6.59,2.97,1.8,0
"142","Jared Polec","NME","MID",83,453166,477800,-24634,13,88.9,87.92,6.41,76.47,94.5,0.23,15.83,3.33,6.12,3.55,1.97,0
"143","Liam Shiels","HAW","MID",83,452871,420100,32771,16,78.2,84.84,5.68,94.12,76,0.25,15.28,2.96,7.53,2.88,2.13,0
"144","Mitch Robinson","BRI","MID",82,449929,418800,31129,17,77.9,90.67,4.91,100,72.14,0.11,16.33,2.56,8,2.74,0.95,0
"145","Jack Gunston","HAW","FWD",82,449487,438200,11287,16,81.6,88.8,3.57,94.12,94.25,0.19,15.99,1.86,7.53,3.54,1.63,0
"146","Toby Nankervis","RIC","RUC",82,449340,442900,6440,7,82.4,92.91,6.9125,41.18,102.4,0.36,16.73,3.6,3.3,3.84,3.07,0
"147","Toby Greene","GWS","FWD",82,448163,448400,-237,13,83.5,92.19,5.31,76.47,61,0.31,16.6,2.76,6.12,2.34,2.64,0
"148","Brandon Ellis","GCS","MID",82,447428,450600,-3172,16,83.9,82.88,6.42,94.12,78.8,0.19,14.93,3.34,7.53,2.98,1.63,0
"149","Kane Lambert","RIC","FWD",82,447280,445900,1380,16,83,83.24,5.38,94.12,78,0.25,14.99,2.8,7.53,2.95,2.13,0
"150","Hunter Clark","STK","DEF",81,446986,438900,8086,16,81.7,80.28,5.89,94.12,77.33,0.28,14.46,3.07,7.53,2.93,2.39,0
"151","Ben Keays","ADE","MID",81,446692,436200,10492,16,81.2,80.19,5.86,94.12,85.2,0.25,14.44,3.05,7.53,3.21,2.13,0
"152","Jack Bowes","GCS","DEF",81,445368,451300,-5932,17,84,83,5.98,100,70.2,0.18,14.95,3.11,8,2.67,1.54,0
"153","David Swallow","GCS","MID",81,445368,438400,6968,15,81.6,86.12,6.31,88.24,87.75,0.13,15.51,3.28,7.06,3.31,1.11,0
"154","Hamish Hartlett","POR","DEF",81,444338,421900,22438,17,78.5,86.42,4.79,100,73.17,0.16,15.56,2.49,8,2.78,1.37,0
"155","Sam Petrevski-Seton","CAR","DEF",81,444044,401400,42644,16,74.7,80.17,4.82,94.12,81,0.31,14.44,2.51,7.53,3.06,2.64,0
"156","Harris Andrews","BRI","DEF",81,443602,469700,-26098,14,87.4,86.56,3.82,82.35,88.75,0.31,15.59,1.99,6.59,3.34,2.64,0
"157","Jack Darling","WCE","FWD",81,443308,434900,8408,17,80.9,82.31,3.28,100,85,0.28,14.82,1.71,8,3.21,2.39,0
"158","Jeremy Cameron","GEE","FWD",81,443308,388100,55208,17,72.2,88,3.47,100,77.4,0.18,15.85,1.81,8,2.93,1.54,0
"159","Alex Witherden","WCE","DEF",81,442866,456100,-13234,6,94.3,93.33,6.86,35.29,69,0.5,16.81,3.57,2.83,2.63,4.26,0
"160","Tom Doedee","ADE","DEF",81,441837,457900,-16063,9,85.2,84.22,5.07,52.94,85.2,0.56,15.17,2.64,4.24,3.21,4.77,0
