,Name,Team,Position,Proj_Score,Price,adp
287,Lincoln McCarthy,BRI,FWD,69,354600,-4
346,Wayne Milera,ADE,DEF,78,312200,-4
102,Will Setterfield,CAR,MID,92,481900,-5
134,Oscar McInerney,BRI,RUC,86,443400,-5
210,Jacob Weitering,CAR,DEF,77,410400,-5
211,Jake Lever,MEL,DEF,77,419400,-5
290,Brent Daniels,GWS,FWD,68,356600,-5
293,Jason Castagna,RIC,FWD,68,341000,-5
295,Brody Mihocek,COL,FWD,68,366000,-5
297,Will Hoskin-Elliott,COL,FWD,68,337500,-5
299,Sam Reid,SYD,FWD,68,328300,-5
302,Darcy MacPherson,GCS,FWD,68,306700,-5
303,Anthony McDonald-Tipungwuti,ESS,FWD,68,370400,-5
105,Dom Sheed,WCE,MID,91,478500,-6
106,Darcy Parish,ESS,MID,91,465800,-6
108,Joel Selwood,GEE,MID,91,445000,-6
209,Ben Cunnington,NME,MID,91,439800,-6
216,Tom Jonas,POR,DEF,76,373600,-6
221,Sam Collins,GCS,DEF,76,422500,-6
306,Jeremy Finlayson,GWS,FWD,67,346700,-6
312,Gary Rohan,GEE,FWD,67,392200,-6
313,Peter Ladhams,POR,FWD,67,460000,-6
316,Tom Scully,HAW,FWD,67,290500,-6
317,Izak Rankine,GCS,FWD,67,371600,-6
373,Jye Caldwell,ESS,FWD,67,348600,-6
109,Jaeger O'Meara,HAW,MID,90,488000,-7
112,James Worpel,HAW,MID,90,474200,-7
222,Ethan Hughes,FRE,DEF,75,381800,-7
226,Callum Wilkie,STK,DEF,75,409000,-7
324,Shane McAdam,ADE,FWD,66,354600,-7
111,Mark Blicavs,GEE,MID,89,531600,-8
113,Zak Jones,STK,MID,89,494700,-8
116,Brodie Smith,ADE,MID,89,438200,-8
118,Lachie Weller,GCS,MID,89,436500,-8
120,Jarrod Berry,BRI,MID,89,521500,-8
235,Jack Scrimshaw,HAW,DEF,74,399600,-8
237,Jackson Nelson,WCE,DEF,74,397600,-8
239,John Noble,COL,DEF,74,393300,-8
326,Daniel Rioli,RIC,FWD,65,341500,-8
