"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"75","Brayden Maynard","COL","DEF",91,480549,549900,-69351,17,102.4,96.84,5.87,100,89.71,0.53,11.74,6.75,8,5.4,5.64
"76","Josh Dunkley","WBD","MID",91,480549,560200,-79651,11,104.3,116.24,5.86,64.71,109.6,0.42,15.46,6.73,4.31,6.56,4.47
"77","Josh Dunkley","WBD","FWD",91,480549,560200,-79651,11,104.3,116.24,5.86,64.71,109.6,0.42,15.46,6.73,4.31,6.56,4.47
"78","Steven May","MEL","DEF",91,480293,507900,-27607,17,94.5,94.53,5.4,100,110.67,0.53,11.29,5.96,8,6.62,5.64
"79","Tom Hawkins","GEE","FWD",91,478116,568600,-90484,17,105.8,106.43,3.97,100,101.89,0.57,13.58,3.58,8,6.11,6.07
"80","Jack Viney","MEL","MID",91,477476,534900,-57424,16,99.6,99.56,6.7,94.12,90.6,0.38,12.26,8.13,7.39,5.46,4.05
"81","Luke Shuey","WCE","MID",91,476452,508600,-32148,12,94.7,106.32,6.61,70.59,82.67,0.54,13.56,7.98,4.93,4.99,5.75
"82","Harry Perryman","GWS","MID",90,474531,505000,-30469,16,94,94,6.16,94.12,98.75,0.5,11.19,7.23,7.39,5.93,5.32
"83","Michael Walters","FRE","MID",90,473251,531100,-57849,14,98.9,102.67,5.88,82.35,84.67,0.57,12.86,6.76,6.16,5.11,6.07
"84","Michael Walters","FRE","FWD",90,473251,531100,-57849,14,98.9,102.67,5.88,82.35,84.67,0.57,12.86,6.76,6.16,5.11,6.07
"85","Joel Selwood","GEE","MID",89,468513,445000,23513,11,82.8,123.08,5.54,64.71,96.2,0.33,16.78,6.2,4.31,5.78,3.52
"86","Nick Haynes","GWS","DEF",89,467489,528400,-60911,17,98.4,98.35,5.36,100,81.8,0.53,12.03,5.9,8,4.94,5.64
"87","Jacob Hopper","GWS","MID",88,464416,488600,-24184,17,90.9,96.2,6.44,100,97.8,0.29,11.61,7.7,8,5.87,3.09
"88","Andrew McGrath","ESS","MID",88,461343,510000,-48657,14,94.9,94.93,7.32,82.35,78.67,0.43,11.37,9.16,6.16,4.76,4.58
"89","Trent Cotchin","RIC","MID",88,460959,443500,17459,13,82.5,118.29,6.3,76.47,75.5,0.24,15.86,7.46,5.54,4.58,2.56
"90","Brad Crouch","STK","MID",87,458270,448600,9670,12,83.5,101.09,7.79,70.59,80,0.33,12.55,9.95,4.93,4.84,3.52
