"","Name","Team","Position","proj_score","proj_salary","Price","value","2020_Games","2020_Average","talent","opportunity","durability","form","consistency","weighted_talent","weighted_opportunity","weighted_durability","weighted_form","weighted_consistency"
"234","Jack Scrimshaw","HAW","DEF",59,308458,399600,-91142,13,74.4,74.31,4.93,76.47,84.4,0.08,7.41,5.18,5.54,5.1,0.86
"235","Blake Hardwick","HAW","DEF",59,308330,373100,-64770,16,69.4,78.62,4.09,94.12,66,0.06,8.24,3.78,7.39,4.02,0.65
"236","Nathan Wilson","FRE","DEF",58,307050,395100,-88050,15,73.5,79.3,4.56,88.24,70.2,0,8.37,4.56,6.77,4.27,0.01
"237","Brennan Cox","FRE","DEF",58,305641,433500,-127859,13,80.7,79.92,3.8,76.47,81.8,0.15,8.49,3.3,5.54,4.94,1.6
"238","Levi Casboult","CAR","FWD",58,305257,349900,-44643,17,65.1,74.59,3.16,100,58.6,0.24,7.46,2.23,8,3.59,2.56
"239","Dougal Howard","STK","DEF",58,305129,355200,-50071,17,66.1,69.16,3.55,100,79.71,0.16,6.42,2.88,8,4.82,1.71
"240","Taylor Walker","ADE","FWD",58,304873,298200,6673,14,55.5,100,2.65,82.35,51.5,0.07,12.34,1.38,6.16,3.18,0.75
"241","Oscar Allen","WCE","FWD",58,303849,422100,-118251,14,78.6,77.67,3.07,82.35,75.2,0.27,8.05,2.08,6.16,4.56,2.88
"242","David Mackay","ADE","DEF",58,303208,393300,-90092,10,73.2,82.1,5.49,58.82,82,0,8.9,6.11,3.7,4.96,0.01
"243","Bradley Hill","STK","MID",58,303208,354000,-50792,17,65.9,62.74,5.27,100,69,0.05,5.19,5.75,8,4.2,0.54
"244","Xavier Duursma","POR","MID",57,302056,398400,-96344,13,74.2,76.86,4.25,76.47,77.8,0.13,7.9,4.05,5.54,4.71,1.39
"245","Dylan Grimes","RIC","DEF",57,300007,382800,-82793,16,71.2,77.89,3.39,94.12,60.88,0.15,8.1,2.61,7.39,3.73,1.6
"246","Jack Sinclair","STK","MID",57,297830,426600,-128770,10,79.4,82.21,4.84,58.82,78.29,0.08,8.93,5.03,3.7,4.74,0.86
"247","Bayley Fritsch","MEL","FWD",57,297574,359300,-61726,16,66.9,76.79,3.71,94.12,79.6,0,7.88,3.14,7.39,4.82,0.01
"248","Ryan Lester","BRI","DEF",57,297446,380200,-82754,13,70.8,78.64,4.22,76.47,77.6,0.07,8.24,4,5.54,4.7,0.75
"249","Luke Dahlhaus","GEE","FWD",57,297318,375200,-77882,12,69.8,81.75,4.37,70.59,64,0.12,8.84,4.25,4.93,3.91,1.29
"250","Ryan Clarke","SYD","MID",56,296550,407800,-111250,10,75.9,75.9,5.64,58.82,71,0.1,7.71,6.36,3.7,4.32,1.07
"251","Luke Brown","ADE","DEF",56,296166,363400,-67234,17,67.6,69.96,4.1,100,67.4,0.06,6.57,3.8,8,4.11,0.65
"252","Jarryn Geary","STK","DEF",56,295654,320400,-24746,14,59.6,81.59,3.55,82.35,75.67,0.06,8.81,2.88,6.16,4.59,0.65
"253","Nathan Jones","MEL","MID",56,295142,292100,3042,8,54.4,108.14,4.38,47.06,38,0,13.91,4.26,2.47,2.4,0.01
"254","Nathan Jones","MEL","FWD",56,295142,292100,3042,8,54.4,108.14,4.38,47.06,38,0,13.91,4.26,2.47,2.4,0.01
"255","Patrick Lipinski","WBD","MID",56,294245,429800,-135555,12,80,79.5,5.24,70.59,64.5,0,8.4,5.7,4.93,3.94,0.01
"256","Aidan Corr","NME","DEF",56,293861,381100,-87239,15,70.9,70.93,4.02,88.24,59,0.2,6.76,3.66,6.77,3.62,2.14
"257","Darcy Gardiner","BRI","DEF",56,292325,362800,-70475,17,67.5,71.05,3.96,100,73.83,0,6.78,3.56,8,4.48,0.01
"258","Liam Jones","CAR","DEF",55,291556,387500,-95944,17,72.1,77.5,2.82,100,84.2,0,8.02,1.66,8,5.08,0.01
"259","Will Hoskin-Elliott","COL","FWD",55,290660,337500,-46840,16,62.8,80.29,3.44,94.12,66.5,0,8.56,2.69,7.39,4.05,0.01
"260","Eric Hipwood","BRI","FWD",55,290276,391300,-101024,17,72.8,69.47,3.52,100,68.71,0.11,6.48,2.83,8,4.18,1.18
"261","Mark O'Connor","GEE","DEF",55,290148,380800,-90652,17,70.9,68.9,3.65,100,61.33,0.14,6.37,3.04,8,3.75,1.5
"262","Wil Powell","GCS","DEF",55,289764,358900,-69136,15,66.8,66.8,4.6,88.24,74.4,0.07,5.97,4.63,6.77,4.51,0.75
"263","Cameron Rayner","BRI","FWD",55,288867,392900,-104033,15,73.1,71.65,3.51,88.24,79.2,0.12,6.9,2.81,6.77,4.79,1.29
"264","Lachie Henderson","GEE","DEF",55,286563,377700,-91137,10,70.3,79.38,4.21,58.82,79.67,0.14,8.38,3.98,3.7,4.82,1.5
"265","Harry Morrison","HAW","DEF",55,286435,358500,-72065,11,66.7,79,4.5,64.71,71,0.09,8.31,4.46,4.31,4.32,0.97
"266","Harry Morrison","HAW","MID",55,286435,358500,-72065,11,66.7,79,4.5,64.71,71,0.09,8.31,4.46,4.31,4.32,0.97
"267","Ben Long","STK","DEF",54,285922,384100,-98178,14,71.5,69.53,4.2,82.35,71.33,0.13,6.49,3.96,6.16,4.33,1.39
"268","Sam Reid","SYD","FWD",54,285666,328300,-42634,10,61.1,104,2.87,58.82,61.2,0,13.11,1.74,3.7,3.75,0.01
"269","Ben Paton","STK","DEF",54,285282,344200,-58918,17,64.1,61.58,4.27,100,57.57,0.16,4.96,4.08,8,3.53,1.71
"270","Lincoln McCarthy","BRI","FWD",54,282209,354600,-72391,15,66,68.71,3.47,88.24,70.4,0.18,6.33,2.74,6.77,4.28,1.92
"271","Anthony McDonald-Tipungwuti","ESS","FWD",54,281569,370400,-88831,17,68.9,74.08,2.86,100,69.83,0.06,7.36,1.73,8,4.25,0.65
"272","Peter Ladhams","POR","FWD",53,280801,460000,-179199,8,85.6,81.9,4.28,47.06,53.33,0.3,8.87,4.1,2.47,3.29,3.2
"273","Jason Castagna","RIC","FWD",53,279520,341000,-61480,17,63.5,66.27,3.91,100,64.78,0.05,5.86,3.48,8,3.95,0.54
"274","Lachie Plowman","CAR","DEF",53,279392,354900,-75508,16,66.1,72.74,3.62,94.12,60,0.06,7.11,2.99,7.39,3.68,0.65
"275","Brody Mihocek","COL","FWD",53,278880,366000,-87120,16,68.1,70.17,2.79,94.12,71.67,0.17,6.61,1.61,7.39,4.35,1.82
"276","Eddie Betts","CAR","FWD",53,278752,308800,-30048,15,57.5,83.52,3.15,88.24,46,0.07,9.18,2.21,6.77,2.86,0.75
"277","Jake Kelly","ADE","DEF",53,277343,309800,-32457,15,57.7,76.71,2.95,88.24,72.25,0.07,7.87,1.88,6.77,4.39,0.75
"278","Taylin Duman","FRE","DEF",53,276959,354600,-77641,15,66,70.2,3.8,88.24,68.8,0.07,6.62,3.3,6.77,4.19,0.75
"279","Jarrod Harbrow","GCS","DEF",53,276959,309100,-32141,13,57.5,83.42,4.34,76.47,43.5,0,9.16,4.2,5.54,2.72,0.01
"280","Chris Mayne","COL","MID",53,276959,373400,-96441,12,69.5,76.13,4.6,70.59,58,0.07,7.76,4.63,4.93,3.56,0.75
"281","Jeremy Finlayson","GWS","FWD",52,275679,346700,-71021,15,64.5,79.4,2.75,88.24,67,0.07,8.39,1.54,6.77,4.08,0.75
"282","Callum Ah Chee","BRI","DEF",52,275295,353300,-78005,16,65.8,65.33,4.11,94.12,65.14,0.06,5.68,3.81,7.39,3.97,0.65
"283","Aliir Aliir","POR","DEF",52,274911,321200,-46289,14,59.8,80.5,3.29,82.35,70,0,8.6,2.44,6.16,4.26,0.01
"284","Izak Rankine","GCS","FWD",52,274783,371600,-96817,12,69.2,69.17,4.03,70.59,61.4,0.25,6.42,3.68,4.93,3.76,2.67
"285","Gary Rohan","GEE","FWD",52,274526,392200,-117674,15,73,70.26,2.8,88.24,68.43,0.21,6.63,1.63,6.77,4.17,2.24
"286","Robbie Fox","SYD","DEF",52,272606,385700,-113094,14,71.8,71.79,3.51,82.35,63.8,0.14,6.92,2.81,6.16,3.9,1.5
"287","Jake Carlisle","STK","DEF",52,272222,372500,-100278,12,69.3,80.11,3.84,70.59,58.5,0.08,8.52,3.36,4.93,3.59,0.86
"288","Brent Daniels","GWS","FWD",52,272094,356600,-84506,16,66.4,66.38,4.06,94.12,69.75,0,5.88,3.73,7.39,4.24,0.01
"289","Mason Redman","ESS","DEF",52,271581,330200,-58619,13,61.5,81.5,4.04,76.47,51.33,0,8.79,3.7,5.54,3.17,0.01
"290","Reece Conca","FRE","DEF",52,271069,370300,-99231,14,68.9,68.5,4.74,82.35,63,0,6.29,4.86,6.16,3.85,0.01
"291","Daniel Talia","ADE","DEF",51,269917,354600,-84683,14,66,79.77,3.14,82.35,44.5,0.14,8.46,2.19,6.16,2.77,1.5
"292","Will Day","HAW","DEF",51,267356,384400,-117044,11,71.5,71.09,4.97,64.71,74.5,0,6.79,5.25,4.31,4.52,0.01
"293","Justin McInerney","SYD","MID",51,267228,384400,-117172,9,71.6,71.56,4.74,52.94,80.5,0.11,6.88,4.86,3.08,4.87,1.18
"294","Tom Scully","HAW","MID",50,264667,290500,-25833,14,54.1,66.26,4.31,82.35,74,0,5.86,4.15,6.16,4.49,0.01
"295","Tom Scully","HAW","FWD",50,264667,290500,-25833,14,54.1,66.26,4.31,82.35,74,0,5.86,4.15,6.16,4.49,0.01
"296","Tom Clurey","POR","DEF",50,264283,335500,-71217,16,62.4,73.48,3.17,94.12,50.2,0.06,7.25,2.24,7.39,3.11,0.65
"297","Grant Birchall","BRI","DEF",50,263771,375300,-111529,14,69.9,67.5,4.54,82.35,62.2,0,6.1,4.53,6.16,3.8,0.01
"298","Steven Motlop","POR","FWD",50,262874,308500,-45626,12,57.4,70.71,3.42,70.59,78,0.14,6.72,2.66,4.93,4.72,1.5
"299","Josh Battle","STK","MID",50,261594,362900,-101306,13,67.5,72.29,3.47,76.47,59.17,0.14,7.02,2.74,5.54,3.63,1.5
"300","Josh Battle","STK","FWD",50,261594,362900,-101306,13,67.5,72.29,3.47,76.47,59.17,0.14,7.02,2.74,5.54,3.63,1.5
"301","Jordan De Goey","COL","FWD",50,261210,435200,-173990,8,81,85.67,4.26,47.06,52,0.1,9.59,4.06,2.47,3.21,1.07
"302","Noah Balta","RIC","DEF",49,257753,373600,-115847,13,69.5,67.12,3.73,76.47,67.11,0.12,6.03,3.18,5.54,4.09,1.29
"303","Jack Henry","GEE","DEF",49,257625,325500,-67875,17,60.6,64.19,3.14,100,64.44,0.05,5.46,2.19,8,3.93,0.54
"304","Jake Melksham","MEL","FWD",49,257497,296800,-39303,17,55.2,71.13,3.17,100,49.5,0,6.8,2.24,8,3.06,0.01
"305","Sam Day","GCS","FWD",49,255448,298300,-42852,17,55.5,68.1,3.03,100,49.8,0.06,6.21,2.01,8,3.08,0.65
"306","Easton Wood","WBD","DEF",49,255064,297700,-42636,12,55.4,86.04,3.08,70.59,37.67,0.08,9.66,2.09,4.93,2.38,0.86
"307","Isaac Quaynor","COL","DEF",48,254552,405300,-150748,9,75.4,72.18,4.27,52.94,78.5,0.09,7,4.08,3.08,4.75,0.97
"308","Shane McAdam","ADE","FWD",48,253911,354600,-100689,13,66,66,3.32,76.47,85,0.08,5.81,2.49,5.54,5.13,0.86
"309","Trent Rivers","MEL","DEF",48,253015,350400,-97385,9,65.2,65.22,4.61,52.94,86,0.11,5.66,4.65,3.08,5.19,1.18
"310","Elliott Himmelberg","ADE","FWD",48,252887,358000,-105113,11,66.6,71,3.41,64.71,83.8,0.09,6.77,2.64,4.31,5.06,0.97
"311","Daniel Rioli","RIC","FWD",48,251863,341500,-89637,14,63.6,65.83,3.75,82.35,74.38,0,5.78,3.21,6.16,4.51,0.01
"312","Jack Madgen","COL","DEF",48,250838,380500,-129662,11,70.8,68.15,3.79,64.71,68.71,0.15,6.22,3.28,4.31,4.18,1.6
"313","Zac Fisher","CAR","FWD",48,250198,394200,-144002,8,73.4,73.38,4.76,47.06,59.5,0.12,7.23,4.9,2.47,3.65,1.29
"314","Lachlan Keeffe","GWS","DEF",48,250070,372800,-122730,13,69.4,69.38,2.99,76.47,78.2,0.08,6.46,1.94,5.54,4.73,0.86
"315","Josh Thomas","COL","FWD",47,249558,305800,-56242,12,56.9,79.48,3.36,70.59,58.57,0,8.4,2.56,4.93,3.59,0.01
"316","Cameron Zurhaar","NME","FWD",47,249174,337800,-88626,16,62.9,65.81,3.25,94.12,53,0.06,5.77,2.38,7.39,3.27,0.65
"317","Will Hayward","SYD","FWD",47,248662,327100,-78438,16,60.9,60.88,3.44,94.12,63.2,0.06,4.83,2.69,7.39,3.86,0.65
"318","Alex Sexton","GCS","FWD",47,248277,330000,-81723,14,61.4,65.44,3.28,82.35,71.67,0.07,5.7,2.43,6.16,4.35,0.75
"319","Josh Walker","NME","DEF",47,248149,329600,-81451,17,61.4,61.35,3.57,100,46.6,0.06,4.92,2.91,8,2.9,0.65
"320","Jed Bews","GEE","DEF",47,247893,341800,-93907,16,63.6,60.9,3.51,94.12,62,0.05,4.83,2.81,7.39,3.79,0.54
"321","Brendon Ah Chee","WCE","FWD",47,246869,310200,-63331,15,57.7,70,3.38,88.24,54,0,6.58,2.59,6.77,3.33,0.01
"322","Nick Blakey","SYD","MID",47,246741,318700,-71959,16,59.3,59.31,3.46,94.12,65,0.06,4.53,2.73,7.39,3.97,0.65
"323","Nick Blakey","SYD","FWD",47,246741,318700,-71959,16,59.3,59.31,3.46,94.12,65,0.06,4.53,2.73,7.39,3.97,0.65
"324","Tim O'Brien","HAW","FWD",47,246229,297500,-51271,16,55.4,72.33,2.3,94.12,65.8,0,7.03,0.79,7.39,4.01,0.01
"325","Alex Keath","WBD","DEF",46,243156,323900,-80744,17,60.3,59.83,3.21,100,55.2,0.06,4.63,2.31,8,3.4,0.65
"326","Tom Cole","WCE","DEF",46,242643,364600,-121957,14,67.9,66.27,3.66,82.35,63.17,0,5.86,3.06,6.16,3.86,0.01
"327","Sam Draper","ESS","RUC",46,241747,378100,-136353,8,70.4,70.38,4.7775,47.06,57.75,0.12,6.65,4.93,2.47,3.54,1.29
"328","Andrew McPherson","ADE","DEF",46,241491,368300,-126809,9,68.6,68.56,4.48,52.94,83.5,0,6.3,4.43,3.08,5.04,0.01
"329","Sam Simpson","GEE","FWD",45,237394,350600,-113206,6,72.5,73.78,4.47,35.29,72.5,0.11,7.31,4.41,1.24,4.4,1.18
"330","Nathan Broad","RIC","DEF",45,237010,349200,-112190,13,65,64.25,3.77,76.47,58.75,0.06,5.48,3.24,5.54,3.6,0.65
"331","Charlie Ballard","GCS","DEF",45,236241,307600,-71359,16,57.2,61.91,3.46,94.12,53.4,0,5.03,2.73,7.39,3.29,0.01
"332","Daniel Lloyd","GWS","FWD",45,235473,330900,-95427,12,61.6,63.5,3.43,70.59,75.67,0.08,5.33,2.68,4.93,4.59,0.86
"333","Riley Bonner","POR","DEF",45,235345,318200,-82855,9,59.2,76.67,4.39,52.94,51,0,7.86,4.28,3.08,3.15,0.01
"334","Jake Kolodjashnij","GEE","DEF",45,234705,330200,-95495,13,61.5,67.22,3.35,76.47,57.88,0.06,6.05,2.54,5.54,3.55,0.65
"335","Adam Tomlinson","MEL","DEF",45,234577,324000,-89423,13,60.3,60.31,4.2,76.47,67.17,0,4.72,3.96,5.54,4.09,0.01
"336","Adam Tomlinson","MEL","MID",45,234577,324000,-89423,13,60.3,60.31,4.2,76.47,67.17,0,4.72,3.96,5.54,4.09,0.01
"337","Brandon Starcevich","BRI","DEF",45,234321,307300,-72979,16,57.2,56.67,3.34,94.12,60.67,0.06,4.02,2.53,7.39,3.71,0.65
"338","Connor Blakely","FRE","MID",45,234193,295000,-60807,5,61,89.18,5,29.41,33,0,10.26,5.3,0.62,2.1,0.01
"339","Ed Richards","WBD","MID",44,233296,309300,-76004,16,57.6,59.65,3.47,94.12,56.8,0,4.59,2.74,7.39,3.49,0.01
"340","Ed Richards","WBD","FWD",44,233296,309300,-76004,16,57.6,59.65,3.47,94.12,56.8,0,4.59,2.74,7.39,3.49,0.01
"341","Lachlan Sholl","ADE","DEF",44,233040,343200,-110160,8,63.9,63.88,4.65,47.06,71.2,0.12,5.4,4.71,2.47,4.33,1.29
"342","Lachlan Sholl","ADE","MID",44,233040,343200,-110160,8,63.9,63.88,4.65,47.06,71.2,0.12,5.4,4.71,2.47,4.33,1.29
"343","Martin Gleeson","ESS","DEF",44,232272,293400,-61128,13,54.6,71.39,3.56,76.47,45.8,0,6.85,2.89,5.54,2.85,0.01
"344","Lachie Ash","GWS","DEF",44,232016,320600,-88584,12,59.7,59.67,3.8,70.59,87.5,0,4.6,3.3,4.93,5.28,0.01
"345","Jaidyn Stephenson","NME","FWD",44,230735,354100,-123365,12,65.9,80.29,2.99,70.59,41.25,0,8.56,1.94,4.93,2.58,0.01
"346","Tom Williamson","CAR","DEF",44,230351,313400,-83049,15,58.3,58.33,3.75,88.24,59.8,0,4.34,3.21,6.77,3.66,0.01
"347","Bailey Scott","NME","MID",44,230351,332300,-101949,13,61.8,61.85,3.54,76.47,60.8,0.08,5.01,2.86,5.54,3.72,0.86
"348","Bailey Scott","NME","FWD",44,230351,332300,-101949,13,61.8,61.85,3.54,76.47,60.8,0.08,5.01,2.86,5.54,3.72,0.86
"349","Sydney Stack","RIC","MID",44,229711,277600,-47889,9,51.7,80.12,3.52,52.94,57,0,8.52,2.83,3.08,3.5,0.01
"350","Sydney Stack","RIC","FWD",44,229711,277600,-47889,9,51.7,80.12,3.52,52.94,57,0,8.52,2.83,3.08,3.5,0.01
"351","Jye Caldwell","ESS","MID",43,227790,348600,-120810,9,64.9,64.89,4.24,52.94,84,0,5.6,4.03,3.08,5.07,0.01
"352","Jye Caldwell","ESS","FWD",43,227790,348600,-120810,9,64.9,64.89,4.24,52.94,84,0,5.6,4.03,3.08,5.07,0.01
"353","James Frawley","STK","DEF",43,227150,295900,-68750,14,55.1,68.36,2.77,82.35,61,0,6.26,1.58,6.16,3.73,0.01
"354","Harry McKay","CAR","FWD",43,226638,319900,-93262,13,59.5,67.53,2.65,76.47,77,0,6.11,1.38,5.54,4.66,0.01
"355","Tyson Stengle","ADE","FWD",43,225870,305300,-79430,12,56.8,62,3.45,70.59,67.25,0.08,5.04,2.71,4.93,4.1,0.86
"356","Jordan Roughead","COL","DEF",42,223053,311300,-88247,15,57.9,62.73,2.95,88.24,58.33,0,5.18,1.88,6.77,3.58,0.01
"357","Tom Cutler","ESS","MID",42,221644,364700,-143056,8,67.9,67.88,4.55,47.06,67.5,0,6.17,4.55,2.47,4.11,0.01
"358","Dean Kent","STK","FWD",42,220876,335200,-114324,13,62.4,63.69,3.24,76.47,41.33,0.13,5.37,2.36,5.54,2.59,1.39
"359","Matt Guelfi","ESS","DEF",42,220108,324300,-104192,11,60.4,61.4,4.18,64.71,65.67,0,4.93,3.93,4.31,4.01,0.01
"360","Max King","STK","FWD",41,217675,327400,-109725,16,60.9,61.11,2.6,94.12,56,0,4.87,1.29,7.39,3.44,0.01
"361","Daniel McStay","BRI","FWD",41,214218,333800,-119582,15,62.1,60.57,2.65,88.24,51.17,0.06,4.77,1.38,6.77,3.16,0.65
"362","Sam Frost","HAW","DEF",41,213321,304900,-91579,16,56.8,56.5,3.26,94.12,46.25,0,3.99,2.39,7.39,2.88,0.01
"363","Ben King","GCS","FWD",41,213065,298700,-85635,17,55.6,55.59,2.49,100,49.6,0.06,3.81,1.11,8,3.07,0.65
"364","Jake Aarts","RIC","FWD",41,212809,329400,-116591,13,61.3,60.64,3.32,76.47,62.17,0,4.78,2.49,5.54,3.8,0.01
"365","Joe Daniher","BRI","FWD",40,212041,233300,-21259,4,48.2,85.36,3.14,23.53,34,0.25,9.53,2.19,0.01,2.16,2.67
"366","Aaron Naughton","WBD","FWD",40,211913,329700,-117787,11,61.4,66.64,2.26,64.71,61.4,0.17,5.93,0.73,4.31,3.76,1.82
"367","Tom Atkins","GEE","FWD",40,210248,293500,-83252,11,54.6,64.12,3.14,64.71,73.4,0,5.45,2.19,4.31,4.46,0.01
"368","Lachie Fogarty","CAR","FWD",40,207815,319100,-111285,6,66,66,4.35,35.29,51,0.17,5.81,4.21,1.24,3.15,1.82
"369","Tom De Koning","CAR","RUC",39,207175,305500,-98325,7,56.9,56.86,4.795,41.18,62.5,0.14,4.06,4.95,1.85,3.82,1.5
"370","Dylan Stephens","SYD","MID",39,207047,337800,-130753,8,62.9,62.88,4.27,47.06,72.5,0,5.21,4.08,2.47,4.4,0.01
"371","Jack Lonie","STK","FWD",39,206535,351200,-144665,11,65.4,65.23,3.45,64.71,56,0,5.66,2.71,4.31,3.44,0.01
"372","Tom McCartin","SYD","FWD",39,206023,312800,-106777,14,58.2,58.21,2.9,82.35,62.4,0,4.31,1.79,6.16,3.82,0.01
"373","Lachlan Murphy","ADE","FWD",39,205895,328600,-122705,12,61.2,61.17,3.27,70.59,63,0,4.88,2.41,4.93,3.85,0.01
"374","Lewis Melican","SYD","DEF",39,204614,324700,-120086,9,60.4,64.33,3.38,52.94,59.4,0.11,5.49,2.59,3.08,3.64,1.18
"375","Josh Bruce","WBD","FWD",39,203846,275000,-71154,16,51.2,51.18,2.58,94.12,59.75,0.06,2.96,1.26,7.39,3.66,0.65
"376","Alex Neal-Bullen","MEL","FWD",38,201029,310100,-109071,7,57.7,77.67,3.04,41.18,61.5,0,8.05,2.03,1.85,3.76,0.01
"377","Adam Kennedy","GWS","MID",38,200773,300900,-100127,6,56,81.11,3.8,35.29,38.5,0,8.71,3.3,1.24,2.42,0.01
"378","Josh Rotham","WCE","DEF",38,198212,331500,-133288,10,61.7,63.25,3.74,58.82,53.6,0,5.28,3.19,3.7,3.3,0.01
"379","Jack Ross","RIC","MID",37,195779,333100,-137321,7,62,62.57,4.58,41.18,60,0,5.15,4.6,1.85,3.68,0.01
"380","Todd Marshall","POR","FWD",37,194755,377400,-182645,12,70.2,64.14,2.57,70.59,32.67,0.14,5.45,1.24,4.93,2.09,1.5
"381","Levi Greenwood","COL","MID",37,192962,276800,-83838,4,57.2,79.5,3.7,23.53,57.33,0,8.4,3.13,0.01,3.52,0.01
"382","Ben McKay","NME","DEF",37,192578,333600,-141022,11,62.1,62.09,3.09,64.71,57.8,0,5.06,2.11,4.31,3.55,0.01
"383","Tyler Brown","COL","MID",36,189377,311000,-121623,9,57.9,57.89,3.7,52.94,71,0,4.25,3.13,3.08,4.32,0.01
"384","Harry Schoenberg","ADE","FWD",36,188609,315600,-126991,8,58.8,58.75,4.16,47.06,64.4,0,4.42,3.9,2.47,3.93,0.01
"385","Ryan Burton","POR","DEF",36,188481,318800,-130319,6,59.3,74,4.09,35.29,15,0.12,7.35,3.78,1.24,1.06,1.29
"386","Zaine Cordy","WBD","DEF",36,188481,313700,-125219,13,58.4,64.47,2.72,76.47,34,0,5.52,1.49,5.54,2.16,0.01
"387","Dylan Clarke","ESS","MID",36,188225,348600,-160375,8,64.9,64.88,3.35,47.06,67,0,5.6,2.54,2.47,4.08,0.01
"388","Dylan Clarke","ESS","FWD",36,188225,348600,-160375,8,64.9,64.88,3.35,47.06,67,0,5.6,2.54,2.47,4.08,0.01
"389","Oleg Markov","GCS","DEF",36,187072,314300,-127228,6,65,65,3.91,35.29,70,0,5.62,3.48,1.24,4.26,0.01
"390","James Stewart","ESS","FWD",36,186688,295000,-108312,10,54.9,67.45,2.48,58.82,60.17,0,6.09,1.09,3.7,3.69,0.01
"391","Jake Stringer","ESS","FWD",35,185664,282600,-96936,10,52.6,71.64,2.41,58.82,47,0,6.89,0.98,3.7,2.92,0.01
"392","Noah Answerth","BRI","DEF",35,185408,304500,-119092,9,56.7,60.9,3.78,52.94,53.5,0,4.83,3.26,3.08,3.3,0.01
"393","Mabior Chol","RIC","RUC",35,183743,327200,-143457,10,60.9,60.09,3.6225,58.82,47.67,0,4.68,3,3.7,2.96,0.01
"394","Connor Budarick","GCS","DEF",35,182207,256500,-74293,15,47.7,47.73,3.22,88.24,45.33,0,2.3,2.33,6.77,2.82,0.01
"395","Darcy Fogarty","ADE","FWD",34,180670,286400,-105730,10,53.3,65.25,2.58,58.82,56.5,0,5.67,1.26,3.7,3.47,0.01
"396","Sam Weideman","MEL","FWD",34,179518,303800,-124282,13,56.5,58.82,2.59,76.47,44.33,0,4.43,1.28,5.54,2.76,0.01
"397","Mitch Crowden","FRE","FWD",34,178109,295500,-117391,10,55,62.8,2.8,58.82,54.8,0,5.2,1.63,3.7,3.37,0.01
"398","Kane Farrell","POR","MID",34,177725,309200,-131475,11,57.5,57.55,3,64.71,39,0.09,4.19,1.96,4.31,2.45,0.97
"399","Kane Farrell","POR","FWD",34,177725,309200,-131475,11,57.5,57.55,3,64.71,39,0.09,4.19,1.96,4.31,2.45,0.97
"400","Daniel Howe","HAW","DEF",34,177597,280500,-102903,5,58,75,3.37,29.41,50.5,0,7.54,2.58,0.62,3.12,0.01
"401","Daniel Howe","HAW","MID",34,177597,280500,-102903,5,58,75,3.37,29.41,50.5,0,7.54,2.58,0.62,3.12,0.01
"402","David Astbury","RIC","DEF",33,174652,400400,-225748,5,82.8,70.81,4.25,29.41,35,0,6.74,4.05,0.62,2.22,0.01
"403","Brayden Ham","ESS","MID",33,172859,277800,-104941,10,51.7,51.7,3.27,58.82,71,0,3.06,2.41,3.7,4.32,0.01
"404","Chayce Jones","ADE","MID",32,170683,236800,-66117,15,44.1,50,2.88,88.24,32,0,2.74,1.76,6.77,2.05,0.01
"405","Jake Waterman","WCE","FWD",32,169786,323600,-153814,9,60.2,59.6,3.6,52.94,42,0,4.58,2.96,3.08,2.63,0.01
"406","Mitch Lewis","HAW","FWD",32,169146,199500,-30354,8,37.1,67.58,1.83,47.06,76,0,6.11,0.01,2.47,4.61,0.01
"407","Jake Riccardi","GWS","FWD",32,167738,336500,-168762,5,69.6,69.6,3.48,29.41,52,0,6.5,2.76,0.62,3.21,0.01
"408","Roarke Smith","WBD","MID",31,165433,281400,-115967,5,58.2,60,3.76,29.41,72.5,0,4.66,3.23,0.62,4.4,0.01
"409","Roarke Smith","WBD","FWD",31,165433,281400,-115967,5,58.2,60,3.76,29.41,72.5,0,4.66,3.23,0.62,4.4,0.01
"410","Kysaiah Pickett","MEL","FWD",31,163384,256400,-93016,14,47.7,47.71,2.63,82.35,47.5,0,2.3,1.34,6.16,2.95,0.01
"411","Mason Cox","COL","FWD",31,161464,312200,-150736,9,58.1,63,1.99,52.94,65.5,0,5.24,0.28,3.08,4,0.01
"412","Bobby Hill","GWS","FWD",30,157878,287200,-129322,5,59.4,59.4,2.88,29.41,53,0.2,4.54,1.76,0.62,3.27,2.14
"413","Mitch McGovern","CAR","FWD",30,157878,283900,-126022,12,52.8,52.83,2.61,70.59,45,0,3.28,1.31,4.93,2.8,0.01
"414","Brandon Zerk-Thatcher","ESS","DEF",30,156726,255200,-98474,10,47.5,58,2.71,58.82,44.6,0,4.27,1.48,3.7,2.78,0.01
"415","Jarman Impey","HAW","FWD",30,156598,212800,-56202,5,39.6,74.12,2.92,29.41,38,0,7.37,1.83,0.62,2.4,0.01
"416","Mitch Brown","MEL","FWD",29,153525,280500,-126975,5,52.2,52.2,3.84,29.41,80,0,3.16,3.36,0.62,4.84,0.01
"417","Charlie Spargo","MEL","FWD",29,151860,298200,-146340,8,55.5,58.55,2.74,47.06,56.5,0,4.38,1.53,2.47,3.47,0.01
"418","Jarrod Brander","WCE","MID",29,150964,295500,-144536,8,55,55,3.89,47.06,34,0,3.7,3.45,2.47,2.16,0.01
"419","Jarrod Brander","WCE","FWD",29,150964,295500,-144536,8,55,55,3.89,47.06,34,0,3.7,3.45,2.47,2.16,0.01
